Item Number,Item Description,CPT Code,Price
01601,BETAMETASONE A&SP 6MG/ML(CELESTONE),J0702,$20.00 
01608,CHLOR-TRIMETON TABLETS,,$3.00 
01609,CHLORASEPTIC MENTHOL S,,$10.00 
01621,CIPROFLOXACIN 250MG(CIPRO),,$5.00 
01624,CLINDAMYCIN 150MG CAP(CLEOCIN),,$5.00 
01625,CLINDAMYCIN 300MG CAP(CLEOCIN),,$5.00 
01628,CLINDAMYCIN 300MG/2ML VIAL(CLEOCIN),,$10.00 
01629,CLINORIL TAB-150MG(SULINDAC),,$5.00 
01632,COGENTIN 1MG TAB(BENZTROPINE),,$3.00 
01635,DOCUSATE SODIUM 100MG CAP(COLACE),,$3.00 
01636,COLCHICINE 0.6MG CAP/TAB(COLCRYS),,$15.00 
01637,CIPROFLOXACIN 500MG TAB(CIPRO),,$10.00 
01638,CLINDAMYCIN 900MG/6ML INJ (CLEOCIN),,$20.00 
01640,CLINDAMYCIN  600MG/4ML INJ (CLEOCIN),,$15.00 
01641,PROCHLORPERAZINE 10MG/2ML INJ(COMPAZINE),J0780,$40.00 
01642,PROCHLORPERAZINE 10MG TAB(COMPAZINE),,$3.00 
01643,PROBIOTIC CAP,,$3.00 
01648,NADOLOL 40MG TAB(CORGARD),,$3.00 
01649,COLESTIPOL MICRONIZED 1GM TAB(COLESTID),,$3.00 
01652,CORTISPORIN OPHTH OINT,,$20.00 
01653,CORTISPORIN OPHTH SUSP,,$22.00 
01654,NEOMYCIN-POLYMYXIN-HC EAR SOLN,,$120.00 
01655,WARFARIN 5MG TAB(COUMADIN),,$3.00 
01658,WARFARIN 2MG TAB(COUMADIN),,$3.00 
01659,WARFARIN 2.5 MG TAB(COUMADIN),,$3.00 
01662,"B-12 1,000MCG INJ(CYANOCOBALAMIN",J3420,$10.00 
01672,TRIAMCINOLONE TUB,,$55.00 
01675,DEXAMETHASONE 4MG/ML Inj(DECADRON),J1100,$12.00 
01678,DECADRON OPHTHALMIC SO,,$24.00 
01679,DECADRON INJ 1MG,J1100,$1.00 
01681,DEXAMETHASONE 4MG TAB(DECADRON),,$3.00 
01685,DEXAMETHASONE 10MG/ML INj(DECADRON),J1100,$30.00 
01689,CAPTOPRIL 50MG TAB(CAPOTEN),,$5.00 
01690,MEPERIDINE 50MG/ML INJ(DEMEROL),J2175,$10.00 
01691,MEPERIDINE 25 MG/ML INJ(DEMEROL),,$10.00 
01701,DIVALPROEX SOD ER 250MG TAB(DEPAKOTE),,$5.00 
01702,METHYLPRESDNISOLONE ACET 40MG(DEPO MED),J1030,$25.00 
01703,DIVALPROEX SOD ER 500MG TAB(DEPAKOTE),,$5.00 
01707,POTASSIUM CL 10MEQ TAB (KLOR-CON),,$3.00 
01713,VERAPAMIL ER 120MG TAB(CALAN),,$3.00 
01721,DEPAKOTE 125MG TAB,,$4.00 
01723,K-LYTE 25MG TAB,,$3.00 
01724,LEVOTHYROXINE 100MCG (SYNTHROID),,$5.00 
01726,LEVOTHYROXINE 112MCG (SYNTHROID),,$5.00 
01727,LEVOTHYROXINE 137MCG (SYNTHROID),,$5.00 
01728,PHENYTOIN SOD 250MG/5ML(5ml)(DILANTIN),J1165,$5.00 
01732,LEVOTHYROXINE 175MCG (SYNTHROID),,$5.00 
01734,PHENYTOIN SOD EXT 100MG (DILANTIN),,$4.00 
01749,PROPRANOLOL ER 60MG CAP (INDERAL LA),,$7.00 
01751,RANITIDINE 150MG TAB (ZANTAC),,$4.00 
01753,DIPRIVAN 100MG/20ML(PROPOFOL),,$25.00 
01754,DIOVAN 160MG,,$7.00 
01757,THEOPHYLLINE ER 200MG TAB,,$5.00 
01759,THEOPHYLLINE ER 400MG TAB,,$5.00 
01765,SAPHRIS 10MG TABS,,$45.00 
01767,GENTAMICIN 0.3% EYE OINT(GARAMYCIN),,$27.00 
01771,VOSOL HC OTIC SOLU,,$59.00 
01773,TRANSDERM NITRO 10 DIS,,$9.00 
01777,UNIVERSAL AIR STIR UP,,$61.25 
01782,MEPERIDINE 100MG/ML INJ (DEMEROL),J2175,$20.00 
01783,EYE TRAY,,$25.00 
01784,TRIPLE DYE PER SWAB,,$3.00 
01790,BISACODYL 10MG SUPP(DULCOLAX),,$4.00 
01791,"STREPTOKINASE INJ 250,000",J2995,$505.00 
01792,DYAZIDE CAP,,$5.00 
01793,SUDAFED 30MG TAB,,$3.00 
01796,IPRAT-ALBUT 0.5/2.5mg/3ml(DUO-NEB),,$5.00 
01811,ATROPINE 0.1MG/ML SYRINGE,J0461,$15.00 
01814,E.E.S. 400MG FILMTAB,,$25.00 
01823,EAR TRAY,,$15.00 
01824,LEVOTHYROXINE  75MCG (SYNTHROID),,$5.00 
01826,LEVOTHYROXINE  88MCG (SYNTHROID),,$5.00 
01827,SYNTHROID 88 MCG TABLET,,$5.00 
01830,EFFIENT 10MG TAB,,$24.00 
01834,LEVOTHYROXINE  25MCG (SYNTHROID),,$5.00 
01835,LEVOTHYROXINE  50MCG (SYNTHROID),,$5.00 
01836,AMITRIPTYLINE 25MG TAB(ELAVIL),,$3.00 
01858,EPHEDRINE SULFATE AMPO,,$12.00 
01861,EPINEPHRINE 0.1MG/ML SYRINGE(ADRENALIN),J0171,$20.00 
01863,EPINEPHRINE BRISTOJECT 8.4% PED,J0171,$15.00 
01868,ERYTHROMYCIN 0.5% EYE OINT,,$14.00 
01870,ERYTHROMYCIN DR 250MG CAP,,$10.00 
01896,FERROUS SULFATE 325MG TAB(IRON),,$3.00 
01902,MULTIGEN CAPLET,,$10.00 
01904,METRONIDAZOLE 500MG/100ML RTU(FLAGYL),,$10.00 
01906,METRONIDAZOLE 250MG TAB(FLAGYL),,$4.00 
01908,FLEET ENEMA,,$3.00 
01910,FLEET ENEMA PEDIATRIC,,$3.00 
01912,CYCLOBENZAPRINE 5MG TAB(FLEXERIL),,$3.00 
01916,CYCLOBENZAPRINE 10MG TAB(FLEXERIL),,$3.00 
01920,FLUOR-I-STRIP EA,,$3.00 
01922,METRONIDAZOLE 500MG TAB (FLAGYL),,$3.00 
01924,FOLIC ACID 1MG TAB(FOLATE),,$3.00 
01925,LEVOTHYROXINE 150MCG (SYNTHROID),,$5.00 
01926,LEVOTHYROXINE SODIUM TABLET,,$5.00 
01927,LEVOTHYROXINE 200MCG (SYNTHROID),,$5.00 
01928,CEFTAZIDIME 1GM VIAL(FORTAZ),J0713,$35.00 
01936,CEFTAZIDIME 2GM VIAL(FORTAZ),J0713,$35.00 
01941,PREMARIN 0.9MG TAB,,$15.00 
01944,GENTAMICIN CREAM 30GM,,$140.00 
01950,GARAMYCIN OINTMENT 15,,$11.00 
01954,GENTAMICIN OPHT SOL(GARAMYCIN),,$15.00 
01958,GENTAMICIN 80MG/2ML VIAL(GARAMYCIN),J1580,$6.00 
01971,PROCTO FOAM HC,,$75.00 
01972,MAG-G 500MG TAB,,$3.00 
01980,METFORMIN 850MG TAB(GLUCOPHAGE),,$3.00 
01981,METFORMIN 750MG ER TAB(GLUCOPHAGE ER),,$3.00 
01983,GLIPIZIDE  XL 2.5MG TAB(GLUCOTROL XL),,$3.00 
01984,GLUCAGON 1MG VIAL,J1610,$325.00 
01985,GLIPIZIDE 5MG TAB(GLUCOTROL),,$3.00 
01986,SANI-SUPP PEDIATRIC SUPP,,$3.00 
01987,GLIPIZIDE 10MG TAB(GLUCOTROL),,$3.00 
01988,METFORMIN  500MG TAB(GLUCOPHAGE),,$3.00 
01994,METFORMIN 1000MG TAB(GLUCOPHAGE),,$5.00 
01995,SODIUM CHLORIDE 0.9% SYR 10ML,,$5.00 
01996,HALOPERIDOL 5MG/ML INJ(HALDOL),J1630,$10.00 
01999,PREPKIT NEW,,$7.00 
02000,HALOPERIDOL 0.5MG TAB(HALDOL),,$5.00 
02002,OB MAG BX SUPPLIES,,$260.00 
02003,OB MAG BOX MAG SULF,J3475,$110.00 
02004,HALOPERIDOL 2MG TAB(HALDOL),,$5.00 
02005,HALOPERIDOL 5MG TAB(HALDOL),,$5.00 
02011,POTASSIUM PHOS INJ,,$14.00 
02012,HEPARIN SOD INJ PER 1000 UNITS,J1644,$5.00 
02015,HEPARIN FLUSH 10U/ML,J1642,$5.00 
02016,"HEPARIN 5,000 UNIT/ML VIAL",J1644,$5.00 
02020,"HEPARIN 10,000 UNIT.ML VIAL",J1644,$10.00 
02021,HEPARIN FLUSH 100U/ML,J1642,$5.00 
02025,PROLIA (DENOSUMAB)60MG PF SYRINGE,J0897,"$2,792.00 "
02027,ORENCIA 1 GRAM (ABATACEPT),J0129,"$8,671.00 "
02054,TUM-E-VAC,,$68.00 
02059,6 MINIBORE EXT LINE,,$59.00 
02060,20G 6 TUOHY NEEDLE,,$69.00 
02062,TERAZOSIN 1MG CAP (HYTRIN),,$5.00 
02064,TERAZOSIN 5MG CAP (HYTRIN),,$5.00 
02067,INSULIN MDV,,$45.00 
02071,ERTHOMYCIN OINT OPTH,,$22.00 
02074,DEXFERRUM 50MG/ML,J1750,$60.00 
02078,LOPERAMIDE 2MG CAP(IMODIUM),,$3.00 
02081,INAPSINE INJ 5MG (DROPERIDOL),J1790,$5.00 
02084,INDERAL INJ UPTO 1MG (PROPRANOLOL HCL),J1800,$12.00 
02088,PROPRANOLOL 20MG TAB (INDERAL),,$3.00 
02089,PROPRANOLOL 40MG TAB (INDERAL),,$3.00 
02091,VANCOMYCIN 500 MG INJ,J3370,$20.00 
02093,T E C APPLICATION,,$25.00 
02095,SILVADENE 1% CREAM,,$10.00 
02096,INDOMETHACIN 25MG CAP (INDOCIN),,$3.00 
02100,IPECAC UNIT DOSE SYRUP,,$5.00 
02103,ACETAMINOPHEN 120mg SUPP(TYLENOL),,$3.00 
02104,ACETAMINOPHEN 325MG SUPP(TYLENOL),,$3.00 
02105,ACETAMINOPHEN 650MG SUPP(TYLENOL),,$3.00 
02106,ELMIRON 100MG TAB,,$24.00 
02107,STERILE FOR INJ VIAL,,$4.00 
02108,Jevity 1.5 Cal Oral,,$4.00 
02110,ISONIAZID TABLETS EA,,$3.00 
02120,ISOSORBIDE MN ER 30MG TAB (IMDUR),,$4.00 
02121,TRIAMCINOLONE 0.1% CREAM 15GM(KENALOG),,$33.00 
02122,GUAIFENESIN 600MG ER TAB(MUCINEX),,$4.00 
02127,ISOSORBIDE MONONITRATE 60MG TAB(IMDUR),,$4.00 
02129,MAXIPIME INJ 2GM,,$22.00 
02132,MUCINEX DM 600MG-30MG TAB (MUCINEX DM),,$5.00 
02138,MELATONIN 3MG TAB,,$3.00 
02139,MELATONIN 5MG TAB,,$3.00 
02142,MELATONIN 1MG TAB,,$3.00 
02148,TYLENOL DROPS 15 CC,,$13.00 
02154,KAOPECTATE SUSPENSION,,$4.00 
02156,KAYEXALATE 15G/60ML SUSP(SPS),,$17.00 
02162,CEPHALEXIN 250MG CAP(KEFLEX),,$5.00 
02164,CEPHALEXIN 500MG CAP(KEFLEX),,$5.00 
02173,KENALOG IN ORABASE 5 G,,$19.00 
02175,KENALOG CREAM 15 GM,,$15.00 
02188,LAMINARA JAPONICA INSERT,,$15.00 
02190,DIGOXIN 500MCG/2ML INJ(LANOXIN),J1160,$10.00 
02193,DIGOXIN 250MCG TAB(LANOXIN),,$5.00 
02196,DIGOXIN 125MCG TAB(LANOXIN),,$5.00 
02204,FUROSEMIDE 40MG/4ML VIAL(LASIX),J1940,$8.00 
02206,FUROSEMIDE 20MG/2ML VIAL(LASIX),J1940,$5.00 
02207,FUROSEMIDE 20MG TAB(LASIX),,$3.00 
02208,LASIX 1 TSP LIQUID,,$3.00 
02212,LEVOPHED 4MG/4ML AMP(NOREPINEPHRINE),,$10.00 
02213,CEPHALEXIN 125MG/5ML SUSP(KEFLEX),,$25.00 
02214,CHLORDIAZEPOX-CLIDIN 5-2.5MG CAP(LIBRAX),,$10.00 
02216,FUROSEMIDE 40MG TAB(LASIX),,$3.00 
02222,CHLORDIAZEPOXIDE 25MG CAP(LIBRIUM),,$3.00 
02225,DERMABOND,,$26.00 
02229,DURAPREP REMOVER LOTION,,$3.00 
02233,SKIN CLIPPER,,$10.00 
02235,22G 3.5  CHIBA SPNL NEEDLE,,$53.00 
02238,LIMBITROL 10MG/25MG TAB,,$5.00 
02246,LUMIGAN SOL 7.5ML,,$965.00 
02250,22G 5  CHIBA SPNL NEEDLE,,$62.00 
02252,SCROTAL SUPPORT,,$27.00 
02254,METOPROLOL TARTRATE 25MG(LOPRESSOR),,$5.00 
02255,25G 2  SPINAL NEEDLE,,$11.00 
02257,METOPROLOL TARTRATE 50MG(LOPRESSOR),,$5.00 
02258,CLOTRIMAZOLE 1% CREAM 15GM(LOTRIMIN),,$10.00 
02267,ROTH RETRIEVAL NETS,,$158.00 
02268,INFUVITE ADULT VIAL,,$14.00 
02274,MAALOC SUSPENSION 30 M,,$3.00 
02276,MACRODANTIN  50MG CAP,,$5.00 
02284,MAGNESIUM SULFATE 50% VIAL 1GM,J3475,$15.00 
02285,MAGNESIUM SULFATE 50% VIAL 5GM/10ML,,$10.00 
02288,INVALID RINGS,,$8.00 
02293,TRIAMTERENE-HCTZ 37.5-25MG (MAXZIDE-25),,$4.00 
02294,MANNITOL 25% VIAL,J2150,$12.00 
02295,LANTISEPTIC CREAM,,$17.00 
02306,MEDROL 4 MG TABLET,,$3.00 
02308,MAXIPIME INJ 1GM,,$12.00 
02316,THIORIDAZINE 25MG TAB(MELLARIL),,$3.00 
02334,MEPHYTON TABLETS EA,,$3.00 
02336,NATURAL FIBER LAX PWD (MITAMUCIL),,$3.00 
02338,METHERGINE INJ UPTO .2MG(METHYLERGONOVIN,J2210,$14.00 
02339,TOREDOL INJ 60MG (15X4),J1885,$8.00 
02345,AMMONIA INHALANT,,$3.00 
02346,MILK OF MAGNESIA SUSPENSION 30ML,,$3.00 
02348,MILK OF MAGNESIA-CASCA,,$5.00 
02350,MINERAL OIL 30ML,,$3.00 
02352,PRAZOSIN 1MG CAP,,$3.00 
02363,MIDAMOR TAB,,$3.00 
02369,MODURETIC 5/50MG TAB,,$3.00 
02372,MONISTAT 7 VAGINAL CRE,,$58.00 
02373,MON STAT DERM 15 GM,,$24.00 
02380,MORPHINE 2MG INJ  IM/IV,,$10.00 
02382,MORPHINE 4MG INJ  IM/IV,,$20.00 
02383,MORPHINE 8MG INJ  IM/IV,,$20.00 
