CDM Item Number,Revenue Code,Service ID,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
7920614,250,J1815,HUMULIN NPH INSULIN,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7930862,250,J1815,HUMULIN ULTRALENTE,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
7931512,250,J3030,IMITREX (SUMATRIPTAN) 6 MG INJ,200,100,74,100,74,94,80,80,94,94,80,
7938765,250,J1815,LANTUS INSULIN,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
7932638,250,,LEVAQUIN (levoFLOXacin) 500 MG TAB,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
7938972,250,,MAGIC MOUTHWASH (MYLANTA/BENADRYL/LIDO V,1,0.5,0.37,0.5,0.37,0.47,0.4,0.4,0.47,0.47,0.4,
7931984,250,J0630,MIACALCIN(CALCITONIN)  INJ 200 I.U./ML,75,37.5,27.75,37.5,27.75,35.25,30,30,35.25,35.25,30,
7939014,250,J1815,novoLOG 70/30 INSULIN  *NAME ALERT*,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7939109,250,,PROTONIX 40 MG TAB UD  (PANTOPRAZOLE),14,7,5.18,7,5.18,6.58,5.6,5.6,6.58,6.58,5.6,
7939250,250,,PROTONIX SUSP  (PANTOPRAZOLE) 40 MG,13,6.5,4.81,6.5,4.81,6.11,5.2,5.2,6.11,6.11,5.2,
7940037,250,,PROVISC 0.55 ML,154,77,56.98,77,56.98,72.38,61.6,61.6,72.38,72.38,61.6,
7927759,250,J2354,SandoSTATIN (SOMATOSTATIN) 100 MCG INJ,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
7939221,250,J1815,SYMLIN (PRAMLINTIDE) 0.6 MG/ML 5 ML VIA,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7938716,250,,TAMBOCOR (FLECAINIDE) 100MG TAB,10,5,3.7,5,3.7,4.7,4,4,4.7,4.7,4,
7938826,250,J3490,TAMIFLU (OSELTAMIVIR) 75 MG CAP,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
7932127,250,,TRANDATE (LABETALOL) 5MG/ML MDV 40 ML,1,0.5,0.37,0.5,0.37,0.47,0.4,0.4,0.47,0.47,0.4,
7925563,250,,VISCOAT 0.5 ML,197,98.5,72.89,98.5,72.89,92.59,78.8,78.8,92.59,92.59,78.8,
7935703,258,,.D5/NACL 0.2%:1000 ML,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
7935877,258,,.D5W / THEOPHYLLINE 800 MG 1000 ML,60,30,22.2,30,22.2,28.2,24,24,28.2,28.2,24,
7935711,258,,.D5W W/ 5% ALCOHOL,61,30.5,22.57,30.5,22.57,28.67,24.4,24.4,28.67,28.67,24.4,
7930241,258,,.D5W W/KCL 20 MEQ LITER,63,31.5,23.31,31.5,23.31,29.61,25.2,25.2,29.61,29.61,25.2,
7931751,258,,.D5W/LIDO./2GM/500ML,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
7935695,258,J7100,.DEXTRAN 40 500 ML BOT,454,227,167.98,227,167.98,213.38,181.6,181.6,213.38,213.38,181.6,
7938838,258,,.DEXTROSE 70% + AMINO ACID 15%+LIPID 20%,698,349,258.26,349,258.26,328.06,279.2,279.2,328.06,328.06,279.2,
7938994,258,,.FREAMINE8.5% AMINO ACIDS + ELECTROLYTES,264,132,97.68,132,97.68,124.08,105.6,105.6,124.08,124.08,105.6,
7935786,258,,".HEPARIN 20,000 UNITS/D5W 500 ML PREMIX",79,39.5,29.23,39.5,29.23,37.13,31.6,31.6,37.13,37.13,31.6,
7939113,258,,.PROTONIX 20 MG TABLET,14,7,5.18,7,5.18,6.58,5.6,5.6,6.58,6.58,5.6,
7938753,258,,.SOD CHLORIDE 0.2% COMP: 500ML *,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
7935869,258,J0280,.THEOPHYLLIN 400 MG/D5W 500 ML PREMIX,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
7939007,258,,.TPN 3 IN 1 PER SOUTHEAST IV,698,349,258.26,349,258.26,328.06,279.2,279.2,328.06,328.06,279.2,
7939132,258,,AA  4.25% + DEX 25% + ELEC/ CENTRAL LINE,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
7939300,258,,CLINIMIX E 4.25/10% CENTRAL LINE,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
7931041,258,,D10W 1000ML,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
7932316,258,,D20W 500/1000 ML PARTIAL FILL,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
7935745,258,,D5 1/2NS W/ KCL 20MEQ,10,5,3.7,5,3.7,4.7,4,4,4.7,4.7,4,
7935752,258,,D5 1/2NS W/ KCL 30MEQ,63,31.5,23.31,31.5,23.31,29.61,25.2,25.2,29.61,29.61,25.2,
7935760,258,,D5 1/2NS W/ KCL 40MEQ,63,31.5,23.31,31.5,23.31,29.61,25.2,25.2,29.61,29.61,25.2,
7931587,258,,D5/NACL 0.2% 500 ML,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
8530073,258,,D5/NACL 0.45% 1000 ML,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
8531204,258,,D5/NACL 0.45% 500 ML,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
8530081,258,J7042,D5/NACL 0.9% 1000 ML,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
8530099,258,,D5/NACL 0.9% 500 ML,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
7931610,258,,D5/NACL 0.9% W/ KCL 20 MEQ PREMIX,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7932415,258,,D50W 500/1000 ML PARTIAL FILL,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
8530123,258,,D5RL 1000 ML,47,23.5,17.39,23.5,17.39,22.09,18.8,18.8,22.09,22.09,18.8,
8530131,258,,D5RL 500 ML,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
8530016,258,J7070,D5W  1000 ML,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
8530149,258,,D5W  250 ML,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
8530024,258,J7060,D5W  500 ML,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
8532376,258,,D5W 100 ML,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
7931694,258,,D5W 50 ML,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
7932416,258,,FREAMINE 8.5% AMINO ACIDS,264,132,97.68,132,97.68,124.08,105.6,105.6,124.08,124.08,105.6,
7939936,258,,"HEPARIN 25,000 UNITS/1/2 NS 250ML",31,15.5,11.47,15.5,11.47,14.57,12.4,12.4,14.57,14.57,12.4,
7932293,258,,HESPAN IV INFUSION BAG 500ML,308,154,113.96,154,113.96,144.76,123.2,123.2,144.76,144.76,123.2,
79331983,258,,INTRALIPIDS 20 % (FAT EMULSION),129,64.5,47.73,64.5,47.73,60.63,51.6,51.6,60.63,60.63,51.6,
8530206,258,,IV SET UP,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
8530032,258,J7120,LACTATED RINGERS 1000 ML,43,21.5,15.91,21.5,15.91,20.21,17.2,17.2,20.21,20.21,17.2,
8530040,258,J7120,LACTATED RINGERS 500 ML,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
1234567,258,,nexIUM 40 MG UD CAPSULE,14,7,5.18,7,5.18,6.58,5.6,5.6,6.58,6.58,5.6,
7940114,258,,OMEPRAZOLE 20 MG BULK (PRILOSEC),14,7,5.18,7,5.18,6.58,5.6,5.6,6.58,6.58,5.6,
7939079,258,,PANTOPRAZOLE 40 MG BULK TABLET,14,7,5.18,7,5.18,6.58,5.6,5.6,6.58,6.58,5.6,
7931082,258,,PCA PUMP CHARGE  **DO NOT USE**,173,86.5,64.01,86.5,64.01,81.31,69.2,69.2,81.31,81.31,69.2,
7931954,258,,PROCAL AMINE WITH ELECTROLYTES,55,27.5,20.35,27.5,20.35,25.85,22,22,25.85,25.85,22,
7931948,258,,SOD CHL 0.9% + KCL 40 MEQ PRE-MIX,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
7938940,258,,SOD CHLOR 0.45%+KCL 20MEQ PREMIX,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7930258,258,,SOD CHLOR 0.9% + KCL 20 MEQ PREMIX,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7930290,258,,SOD CHLOR 250ML BOTT,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
8530115,258,,SOD CHLORIDE 0.45%  500 ML,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
8530107,258,,SOD CHLORIDE 0.45% 1000ML,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
8532392,258,J7050,SOD CHLORIDE 0.9%  250ML,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
8532384,258,,SOD CHLORIDE 0.9% 100 ML,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
8530057,258,J7030,SOD CHLORIDE 0.9% 1000 ML,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
7930266,258,,SOD CHLORIDE 0.9% 25 ML,55,27.5,20.35,27.5,20.35,25.85,22,22,25.85,25.85,22,
7931660,258,,SOD CHLORIDE 0.9% 50 ML,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
8530065,258,J7040,SOD CHLORIDE 0.9% 500 ML,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
739276,258,J7030,SOD CHLORIDE 1/4% 1000 ML,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
8530156,258,,SOD CHLORIDE 3% 500 ML,43,21.5,15.91,21.5,15.91,20.21,17.2,17.2,20.21,20.21,17.2,
7939138,258,,STERILE WATER FOR IV 1000 ML,41,20.5,15.17,20.5,15.17,19.27,16.4,16.4,19.27,19.27,16.4,
8690780,260,96365,*IV INFUSION THERAPY FIRST HOUR,167,83.5,61.79,83.5,61.79,78.49,66.8,66.8,78.49,78.49,66.8,
8690781,260,96361,IV FLUIDS/HYDRATION EACH ADD HOUR,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
7600000,260,96360,IV INFUSION/HYDRATION INITAL (1),279,139.5,103.23,139.5,103.23,131.13,111.6,111.6,131.13,131.13,111.6,
8690766,260,96366,IV INFUSION/THERAPUTIC EACH ADD  HR,440,220,162.8,220,162.8,206.8,176,176,206.8,206.8,176,
8690765,260,96365,IV INFUSION/THERAPUTIC INITAL (1),550,275,203.5,275,203.5,258.5,220,220,258.5,258.5,220,
8696368,260,96368,IV PIGGY BACK,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
8890784,260,96375,IV PUSH/EACH ADDITIONAL NEW DRUG,105,52.5,38.85,52.5,38.85,49.35,42,42,49.35,49.35,42,
8690784,260,96374,IV PUSH/SINGLE OR INITIAL,97,48.5,35.89,48.5,35.89,45.59,38.8,38.8,45.59,45.59,38.8,
9276374,260,96374,IV PUSH/SINGLE OR INITIAL GI LAB,97,48.5,35.89,48.5,35.89,45.59,38.8,38.8,45.59,45.59,38.8,
8696376,260,96376,IV SAME DRUG ADD PUSH 30 MIN,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8696367,260,96367,IV THERAPUTIC NEW DRUG INFUSION,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
9236593,260,96523,PORT FLUSH,270,135,99.9,135,99.9,126.9,108,108,126.9,126.9,108,
8531685,272,C1751,.CATH MULTI-LUMEN,333,166.5,123.21,166.5,123.21,156.51,133.2,133.2,156.51,156.51,133.2,
9200593,272,,BILIARY STENT,131,65.5,48.47,65.5,48.47,61.57,52.4,52.4,61.57,61.57,52.4,
9200585,272,,BILIARY STENT KIT,326,163,120.62,163,120.62,153.22,130.4,130.4,153.22,153.22,130.4,
8090706,272,,BONANNO SUPRA PUBIC,87,43.5,32.19,43.5,32.19,40.89,34.8,34.8,40.89,40.89,34.8,
8534300,272,,CARDIO PATCH,555,277.5,205.35,277.5,205.35,260.85,222,222,260.85,260.85,222,
8531683,272,,CATH MULT MED KIT,249,124.5,92.13,124.5,92.13,117.03,99.6,99.6,117.03,117.03,99.6,
8539587,272,,CATHETER CHEST,31,15.5,11.47,15.5,11.47,14.57,12.4,12.4,14.57,14.57,12.4,
8636489,272,C1751,CENT. IV LINE CVP,382,191,141.34,191,141.34,179.54,152.8,152.8,179.54,179.54,152.8,
7940126,272,C1751,CENTRAL LINE,200,100,74,100,74,94,80,80,94,94,80,
8534745,272,,CHEST DRAIN UNIT ARGILE,185,92.5,68.45,92.5,68.45,86.95,74,74,86.95,86.95,74,
8090900,272,,CYSTIC DUCT KIT,660,330,244.2,330,244.2,310.2,264,264,310.2,310.2,264,
8094615,272,,DOUB J. URETHERAL STENT,333,166.5,123.21,166.5,123.21,156.51,133.2,133.2,156.51,156.51,133.2,
8093080,272,,GLOSHONG CATH,505,252.5,186.85,252.5,186.85,237.35,202,202,237.35,237.35,202,
8534770,272,C1751,GROSHONG CATHETER,1537,768.5,568.69,768.5,568.69,722.39,614.8,614.8,722.39,722.39,614.8,
8534771,272,C1751,GROSHONG CATHETER DUAL,1907,953.5,705.59,953.5,705.59,896.29,762.8,762.8,896.29,896.29,762.8,
8534988,272,,HERNIA PATCH 10X13IN,7243,3621.5,2679.91,3621.5,2679.91,3404.21,2897.2,2897.2,3404.21,3404.21,2897.2,
8534986,272,,HERNIA PATCH 11X14CM,2787,1393.5,1031.19,1393.5,1031.19,1309.89,1114.8,1114.8,1309.89,1309.89,1114.8,
8534987,272,,HERNIA PATCH 14X18CM,3177,1588.5,1175.49,1588.5,1175.49,1493.19,1270.8,1270.8,1493.19,1493.19,1270.8,
8534983,272,,HERNIA PATCH 7.6cm x7.6cm,1907,953.5,705.59,953.5,705.59,896.29,762.8,762.8,896.29,896.29,762.8,
8534985,272,,HERNIA PATCH 8X12CM,1716,858,634.92,858,634.92,806.52,686.4,686.4,806.52,806.52,686.4,
8091373,272,,HICKMAN CATHETER,160,80,59.2,80,59.2,75.2,64,64,75.2,75.2,64,
8172256,272,,HYSTERO TRAY,41,20.5,15.17,20.5,15.17,19.27,16.4,16.4,19.27,19.27,16.4,
8092041,272,,MARLEX MESH,193,96.5,71.41,96.5,71.41,90.71,77.2,77.2,90.71,90.71,77.2,
8534991,272,,MESH,1944,972,719.28,972,719.28,913.68,777.6,777.6,913.68,913.68,777.6,
8534981,272,,MESH 26.0X34.0,3812,1906,1410.44,1906,1410.44,1791.64,1524.8,1524.8,1791.64,1791.64,1524.8,
8534994,272,,MESH 3DMAX LEFT/RIGHT LG.,528,264,195.36,264,195.36,248.16,211.2,211.2,248.16,248.16,211.2,
8534980,272,,MESH PLUG BARD,400,200,148,200,148,188,160,160,188,188,160,
8534990,272,C1781,"MITEK ANCHOR (MESH, IMPLANTABLE)",1017,508.5,376.29,508.5,376.29,477.99,406.8,406.8,477.99,477.99,406.8,
8534989,272,,MITEK ELECTRODE,763,381.5,282.31,381.5,282.31,358.61,305.2,305.2,358.61,358.61,305.2,
9200494,272,,NASAL BIL DRAIN. SET,236,118,87.32,118,87.32,110.92,94.4,94.4,110.92,110.92,94.4,
8530581,272,,NOVA-SURE DEVICE,3812,1906,1410.44,1906,1410.44,1791.64,1524.8,1524.8,1791.64,1791.64,1524.8,
8530505,272,,SHEATH INTRODUCER 8FR.,108,54,39.96,54,39.96,50.76,43.2,43.2,50.76,50.76,43.2,
8530776,272,,SPL WRIST & THUMB,47,23.5,17.39,23.5,17.39,22.09,18.8,18.8,22.09,22.09,18.8,
9201874,272,C1874,STENT COVERED/COATED W DELIVERY SYSTEM,2475,1237.5,915.75,1237.5,915.75,1163.25,990,990,1163.25,1163.25,990,
8533523,272,,SWAN-GANZ 2 L.C. 7F.,251,125.5,92.87,125.5,92.87,117.97,100.4,100.4,117.97,117.97,100.4,
8533531,272,,SWAN-GANZ TRIPLE L.C,136,68,50.32,68,50.32,63.92,54.4,54.4,63.92,63.92,54.4,
8533317,272,,THORACENTESIS TRAY,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
8534960,272,C1788,VASCULAR ACCESS  PORT,608,304,224.96,304,224.96,285.76,243.2,243.2,285.76,285.76,243.2,
8092462,272,,WHISTLE/CONE TIP CATH.,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
8530651,274,L0120,CERVICAL C. FOAM TP,43,21.5,15.91,21.5,15.91,20.21,17.2,17.2,20.21,20.21,17.2,
8530677,274,,"CLAVICAL BRACE, MEEK",38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535072,274,,CLAVICLE STRAP LARGE,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535064,274,L3650,CLAVICLE STRAP MED,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535056,274,,CLAVICLE STRAP SMALL,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535049,274,,CLAVICLE STRAP X-LARGE,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535510,274,L0120,COLLAR LARGE,18,9,6.66,9,6.66,8.46,7.2,7.2,8.46,8.46,7.2,
8535502,274,L0120,COLLAR MED,18,9,6.66,9,6.66,8.46,7.2,7.2,8.46,8.46,7.2,
8535494,274,L0120,COLLAR SMALL,18,9,6.66,9,6.66,8.46,7.2,7.2,8.46,8.46,7.2,
8530413,274,L0120,COLLAR TURTLE NECK,59,29.5,21.83,29.5,21.83,27.73,23.6,23.6,27.73,27.73,23.6,
8535528,274,L0120,COLLAR X LARGE,18,9,6.66,9,6.66,8.46,7.2,7.2,8.46,8.46,7.2,
8539934,274,,EXO STATIC COLLAR,120,60,44.4,60,44.4,56.4,48,48,56.4,56.4,48,
8535569,274,L1832,HINGED KNEE SUPPORT LARGE,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
8535577,274,L1832,HINGED KNEE SUPPORT MED,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
8535585,274,L1832,HINGED KNEE SUPPORT SMALL,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
8535593,274,L1832,HINGED KNEE SUPPORT X LARGE,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
8535536,274,L1830,KNEE IMMOB 16,96,48,35.52,48,35.52,45.12,38.4,38.4,45.12,45.12,38.4,
8535545,274,L1830,KNEE IMMOB 20,96,48,35.52,48,35.52,45.12,38.4,38.4,45.12,45.12,38.4,
8535544,274,L1830,KNEE IMMOB 24,96,48,35.52,48,35.52,45.12,38.4,38.4,45.12,45.12,38.4,
8535627,274,,KNEE SUPPORT LARGE,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8535619,274,,KNEE SUPPORT MED,65,32.5,24.05,32.5,24.05,30.55,26,26,30.55,30.55,26,
8535601,274,,KNEE SUPPORT SMALL,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8535635,274,,KNEE SUPPORT X LARGE,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8530417,274,,KNEE SUPPORT XXL,84,42,31.08,42,31.08,39.48,33.6,33.6,39.48,39.48,33.6,
8535446,274,,L/S SOPPORT XXXXL,81,40.5,29.97,40.5,29.97,38.07,32.4,32.4,38.07,38.07,32.4,
8535403,274,,L/S SUPPORT LARGE,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535411,274,,L/S SUPPORT MED,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535429,274,,L/S SUPPORT SMALL,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535437,274,,L/S SUPPORT X LARGE,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535445,274,,L/S SUPPORT XX LARGE,81,40.5,29.97,40.5,29.97,38.07,32.4,32.4,38.07,38.07,32.4,
8530230,274,L0140,PHILADELPHIA COLLAR,110,55,40.7,55,40.7,51.7,44,44,51.7,51.7,44,
8530867,274,C1751,PICC LINE KIT 5MM,350,175,129.5,175,129.5,164.5,140,140,164.5,164.5,140,
8534984,274,L0450,RIB BELT LARGE FEMALE AND UNV,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535023,274,L0220,RIB BELT LARGE MALE & UNV,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535015,274,L0220,RIB BELT MED MALE,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535007,274,L0220,RIB BELT SMALL MALE,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8534992,274,L0220,RIB BELT X-LARGE FEMALE,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8535031,274,L0220,RIB BELT X-LARGE MALE,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
8530834,274,L3650,SHOULDER BRACE FIG 8,54,27,19.98,27,19.98,25.38,21.6,21.6,25.38,25.38,21.6,
8535288,274,L3650,SHOULDER IMMOB LARGE,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8535270,274,L3650,SHOULDER IMMOB MED,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8535262,274,L3650,SHOULDER IMMOB SMALL,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8535312,274,L3650,SHOULDER IMMOB X LARGE,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8530685,274,,SPLINT ELBOW,76,38,28.12,38,28.12,35.72,30.4,30.4,35.72,35.72,30.4,
8900987,274,,TAYLOR BACK BRACE,919,459.5,340.03,459.5,340.03,431.93,367.6,367.6,431.93,431.93,367.6,
8535163,274,L3807,W/F SPLINT LEATHER LEFT LARGE,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535171,274,L3807,W/F SPLINT LEATHER LEFT MED,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535189,274,L3807,W/F SPLINT LEATHER LEFT SMALL,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535197,274,L3807,W/F SPLINT LEATHER LEFT X-LARGE,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535122,274,L3807,W/F SPLINT LEATHER RIGHT LARGE,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535130,274,L3807,W/F SPLINT LEATHER RIGHT MED,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535148,274,L3807,W/F SPLINT LEATHER RIGHT SMALL,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535155,274,L3807,W/F SPLINT LEATHER RIGHT X-LARGE,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8535379,274,L3807,WRIST BRACER LEFT LARGE,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535387,274,L3807,WRIST BRACER LEFT MED,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8535395,274,L3807,WRIST BRACER LEFT SMALL,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
