SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL Total (IP & OP) PPO ,BCBSAL CHS EE PPO,Aetna PPO ,UHC PPO ,Cigna PPO,COMM VIVA Health PPO ,COMM Multiplan PPO ,COMM Humana PPO,Humana MCR ,UHC MCR ,BCBSAL MCR ,Cigna Healthspring MCR ,VIVA Health MCR,Aetna/Coventry MCR 
2850102,IR-VENOGRAM EXT BI,75822,2610.74,2/6/2022,548.2554,913.759,13314.774,1167.00078,161.86588,143.5907,1167.00078,428.16136,788.44348,694.45684,274.1277,237.57734,133.14774,151.42292,148.81218,13314.774,138.36922,154.03366
7212344,HAEMOPH B TETAN INJ,90648,191,2/6/2022,40.11,66.85,974.1,85.377,11.842,10.505,85.377,31.324,57.682,50.806,20.055,17.381,9.741,11.078,10.887,974.1,10.123,11.269
1314884,MICROB SUSCEP MYCOBA,87190,68.96,2/6/2022,14.4816,24.136,351.696,30.82512,4.27552,3.7928,30.82512,11.30944,20.82592,18.34336,7.2408,6.27536,3.51696,3.99968,3.93072,351.696,3.65488,4.06864
7211295,LOPERA 1MG/7.5ML 7.5,,8,2/6/2022,1.68,2.8,40.8,3.576,0.496,0.44,3.576,1.312,2.416,2.128,0.84,0.728,0.408,0.464,0.456,40.8,0.424,0.472
7211927,THIOTEPA 15MG,J9340,1067.5,2/6/2022,224.175,373.625,5444.25,477.1725,66.185,58.7125,477.1725,175.07,322.385,283.955,112.0875,97.1425,54.4425,61.915,60.8475,5444.25,56.5775,62.9825
1621636,US-DRN INJ INTM JT W,20606,5107.46,2/6/2022,1072.5666,1787.611,26048.046,2283.03462,316.66252,280.9103,2283.03462,837.62344,1542.45292,1358.58436,536.2833,464.77886,260.48046,296.23268,291.12522,26048.046,270.69538,301.34014
1210224,LEVOFLOXAC 250MG INJ,J1956,237.5,2/6/2022,49.875,83.125,1211.25,106.1625,14.725,13.0625,106.1625,38.95,71.725,63.175,24.9375,21.6125,12.1125,13.775,13.5375,1211.25,12.5875,14.0125
1061479,NI-TEMP EXT PACE,92953,2067.74,2/6/2022,434.2254,723.709,10545.474,924.27978,128.19988,113.7257,924.27978,339.10936,624.45748,550.01884,217.1127,188.16434,105.45474,119.92892,117.86118,10545.474,109.59022,121.99666
1314634,"NEUTRALIZ TEST,VIRAL",86382,131.95,2/6/2022,27.7095,46.1825,672.945,58.98165,8.1809,7.25725,58.98165,21.6398,39.8489,35.0987,13.85475,12.00745,6.72945,7.6531,7.52115,672.945,6.99335,7.78505
1670237,CT-LUMB SPINE WO,72131,5956.17,2/6/2022,1250.7957,2084.6595,30376.467,2662.40799,369.28254,327.58935,2662.40799,976.81188,1798.76334,1584.34122,625.39785,542.01147,303.76467,345.45786,339.50169,30376.467,315.67701,351.41403
215164,R&B ISOLATION,,4969.54,2/6/2022,1043.6034,1739.339,25344.654,2221.38438,308.11148,273.3247,2221.38438,815.00456,1500.80108,1321.89764,521.8017,452.22814,253.44654,288.23332,283.26378,25344.654,263.38562,293.20286
1217165,TROPICAMID 1%OS 15ML,,585.5,2/6/2022,122.955,204.925,2986.05,261.7185,36.301,32.2025,261.7185,96.022,176.821,155.743,61.4775,53.2805,29.8605,33.959,33.3735,2986.05,31.0315,34.5445
1217847,NITROGLY. 50MG/250ML,,377.5,2/6/2022,79.275,132.125,1925.25,168.7425,23.405,20.7625,168.7425,61.91,114.005,100.415,39.6375,34.3525,19.2525,21.895,21.5175,1925.25,20.0075,22.2725
2072333,DEBRIDE EA ADD 20CM,97598,1953.71,2/6/2022,410.2791,683.7985,9963.921,873.30837,121.13002,107.45405,873.30837,320.40844,590.02042,519.68686,205.13955,177.78761,99.63921,113.31518,111.36147,9963.921,103.54663,115.26889
1317093,MOLEC PATH LEV 3,81402,199.82,2/6/2022,41.9622,69.937,1019.082,89.31954,12.38884,10.9901,89.31954,32.77048,60.34564,53.15212,20.9811,18.18362,10.19082,11.58956,11.38974,1019.082,10.59046,11.78938
1314123,ALPHA 1-ANTITRYP TOT,82103,670.61,2/6/2022,140.8281,234.7135,3420.111,299.76267,41.57782,36.88355,299.76267,109.98004,202.52422,178.38226,70.41405,61.02551,34.20111,38.89538,38.22477,3420.111,35.54233,39.56599
1314308,"HEMOGLOBIN, CHROMA",83021,292.68,2/6/2022,61.4628,102.438,1492.668,130.82796,18.14616,16.0974,130.82796,47.99952,88.38936,77.85288,30.7314,26.63388,14.92668,16.97544,16.68276,1492.668,15.51204,17.26812
1314105,ALBUMIN SERUM,82040,747.17,2/6/2022,156.9057,261.5095,3810.567,333.98499,46.32454,41.09435,333.98499,122.53588,225.64534,198.74722,78.45285,67.99247,38.10567,43.33586,42.58869,3810.567,39.60001,44.08303
1410074,LEAD AICD END DUL L4,C1895,6654.14,2/6/2022,1397.3694,2328.949,33936.114,2974.40058,412.55668,365.9777,2974.40058,1091.27896,2009.55028,1770.00124,698.6847,605.52674,339.36114,385.94012,379.28598,33936.114,352.66942,392.59426
1212834,ZINC SULF 220MG TAB,,2.5,2/6/2022,0.525,0.875,12.75,1.1175,0.155,0.1375,1.1175,0.41,0.755,0.665,0.2625,0.2275,0.1275,0.145,0.1425,12.75,0.1325,0.1475
7210233,METFORMIN 750MG SRTB,,12.5,2/6/2022,2.625,4.375,63.75,5.5875,0.775,0.6875,5.5875,2.05,3.775,3.325,1.3125,1.1375,0.6375,0.725,0.7125,63.75,0.6625,0.7375
1414986,STNT NON-COR TM DL 2,C2625,3802.19,2/6/2022,798.4599,1330.7665,19391.169,1699.57893,235.73578,209.12045,1699.57893,623.55916,1148.26138,1011.38254,399.22995,345.99929,193.91169,220.52702,216.72483,19391.169,201.51607,224.32921
1691211,IR-ANG SUBCL IPS BI,36225,67968.4,2/6/2022,14273.364,23788.94,346638.84,30381.8748,4214.0408,3738.262,30381.8748,11146.8176,20526.4568,18079.5944,7136.682,6185.1244,3466.3884,3942.1672,3874.1988,346638.84,3602.3252,4010.1356
1410076,LEAD AICD END DUL L6,C1895,33269.72,2/6/2022,6986.6412,11644.402,169675.572,14871.56484,2062.72264,1829.8346,14871.56484,5456.23408,10047.45544,8849.74552,3493.3206,3027.54452,1696.75572,1929.64376,1896.37404,169675.572,1763.29516,1962.91348
1691208,IR-ANG INT CAR IP UN,36224,54850.06,2/6/2022,11518.5126,19197.521,279735.306,24517.97682,3400.70372,3016.7533,24517.97682,8995.40984,16564.71812,14590.11596,5759.2563,4991.35546,2797.35306,3181.30348,3126.45342,279735.306,2907.05318,3236.15354
1621560,US-EXT VEINS DPX LTD,93971,2655.27,2/6/2022,557.6067,929.3445,13541.877,1186.90569,164.62674,146.03985,1186.90569,435.46428,801.89154,706.30182,278.80335,241.62957,135.41877,154.00566,151.35039,13541.877,140.72931,156.66093
1651146,NM-LUNG VENT PERFUS,78582,9093.62,2/6/2022,1909.6602,3182.767,46377.462,4064.84814,563.80444,500.1491,4064.84814,1491.35368,2746.27324,2418.90292,954.8301,827.51942,463.77462,527.42996,518.33634,46377.462,481.96186,536.52358
1321056,CHROMOSOM ANAL50-100,88248,1417.77,2/6/2022,297.7317,496.2195,7230.627,633.74319,87.90174,77.97735,633.74319,232.51428,428.16654,377.12682,148.86585,129.01707,72.30627,82.23066,80.81289,7230.627,75.14181,83.64843
1824900,PT EVAL- LOW CMP PT,97161,738.48,2/6/2022,155.0808,258.468,3766.248,330.10056,45.78576,40.6164,330.10056,121.11072,223.02096,196.43568,77.5404,67.20168,37.66248,42.83184,42.09336,3766.248,39.13944,43.57032
7210570,SALINE NASAL GL 14GM,,7.8,2/6/2022,1.638,2.73,39.78,3.4866,0.4836,0.429,3.4866,1.2792,2.3556,2.0748,0.819,0.7098,0.3978,0.4524,0.4446,39.78,0.4134,0.4602
390015,S-RPL COMP NT CVC WO,SURG,4877.23,2/6/2022,1024.2183,1707.0305,24873.873,2180.12181,302.38826,268.24765,2180.12181,799.86572,1472.92346,1297.34318,512.10915,443.82793,248.73873,282.87934,278.00211,24873.873,258.49319,287.75657
1670457,US-HYSTEROSONOGRAPHY,76831,1217.41,2/6/2022,255.6561,426.0935,6208.791,544.18227,75.47942,66.95755,544.18227,199.65524,367.65782,323.83106,127.82805,110.78431,62.08791,70.60978,69.39237,6208.791,64.52273,71.82719
1218296,SOD CHLOR 23.4% 30ML,,157.5,2/6/2022,33.075,55.125,803.25,70.4025,9.765,8.6625,70.4025,25.83,47.565,41.895,16.5375,14.3325,8.0325,9.135,8.9775,803.25,8.3475,9.2925
1030063,MTR-SENS 5-6 NRV TST,95909,598.39,2/6/2022,125.6619,209.4365,3051.789,267.48033,37.10018,32.91145,267.48033,98.13596,180.71378,159.17174,62.83095,54.45349,30.51789,34.70662,34.10823,3051.789,31.71467,35.30501
1214406,ARGATROBAN 1MG NESRD,J0883,30.5,2/6/2022,6.405,10.675,155.55,13.6335,1.891,1.6775,13.6335,5.002,9.211,8.113,3.2025,2.7755,1.5555,1.769,1.7385,155.55,1.6165,1.7995
1211048,EPO 1000UN INJ NESRD,J0885,144.5,2/6/2022,30.345,50.575,736.95,64.5915,8.959,7.9475,64.5915,23.698,43.639,38.437,15.1725,13.1495,7.3695,8.381,8.2365,736.95,7.6585,8.5255
1218004,MINOCYCLINE 100MG CP,,4.5,2/6/2022,0.945,1.575,22.95,2.0115,0.279,0.2475,2.0115,0.738,1.359,1.197,0.4725,0.4095,0.2295,0.261,0.2565,22.95,0.2385,0.2655
265206,R&B M/S PVT TELEM,,6486.68,2/6/2022,1362.2028,2270.338,33082.068,2899.54596,402.17416,356.7674,2899.54596,1063.81552,1958.97736,1725.45688,681.1014,590.28788,330.82068,376.22744,369.74076,33082.068,343.79404,382.71412
7210665,EMTR200-TENO300MG TB,,213,2/6/2022,44.73,74.55,1086.3,95.211,13.206,11.715,95.211,34.932,64.326,56.658,22.365,19.383,10.863,12.354,12.141,1086.3,11.289,12.567
1651127,NM-TUMOR LOC LMTD 1D,78800,8025,2/6/2022,1685.25,2808.75,40927.5,3587.175,497.55,441.375,3587.175,1316.1,2423.55,2134.65,842.625,730.275,409.275,465.45,457.425,40927.5,425.325,473.475
7211905,FLUDARABIN PHOS 50MG,J9185,1835,2/6/2022,385.35,642.25,9358.5,820.245,113.77,100.925,820.245,300.94,554.17,488.11,192.675,166.985,93.585,106.43,104.595,9358.5,97.255,108.265
1621521,US-PELVIS PREG LTD,76815,2084.03,2/6/2022,437.6463,729.4105,10628.553,931.56141,129.20986,114.62165,931.56141,341.78092,629.37706,554.35198,218.82315,189.64673,106.28553,120.87374,118.78971,10628.553,110.45359,122.95777
1212634,HEPARIN NA 10U FLUSH,J1642,31.5,2/6/2022,6.615,11.025,160.65,14.0805,1.953,1.7325,14.0805,5.166,9.513,8.379,3.3075,2.8665,1.6065,1.827,1.7955,160.65,1.6695,1.8585
7211099,VARENICILINE .5MG TB,,17.5,2/6/2022,3.675,6.125,89.25,7.8225,1.085,0.9625,7.8225,2.87,5.285,4.655,1.8375,1.5925,0.8925,1.015,0.9975,89.25,0.9275,1.0325
1314047,QUINIDINE,80194,348.61,2/6/2022,73.2081,122.0135,1777.911,155.82867,21.61382,19.17355,155.82867,57.17204,105.28022,92.73026,36.60405,31.72351,17.77911,20.21938,19.87077,1777.911,18.47633,20.56799
2811942,S-SKIN BIOP TANG 1LE,SURG,1563.84,2/6/2022,328.4064,547.344,7975.584,699.03648,96.95808,86.0112,699.03648,256.46976,472.27968,415.98144,164.2032,142.30944,79.75584,90.70272,89.13888,7975.584,82.88352,92.26656
1219570,SORBITOL 70% 30ML,,10,2/6/2022,2.1,3.5,51,4.47,0.62,0.55,4.47,1.64,3.02,2.66,1.05,0.91,0.51,0.58,0.57,51,0.53,0.59
1670233,CT-CERV SPINE WWO,72127,5956.17,2/6/2022,1250.7957,2084.6595,30376.467,2662.40799,369.28254,327.58935,2662.40799,976.81188,1798.76334,1584.34122,625.39785,542.01147,303.76467,345.45786,339.50169,30376.467,315.67701,351.41403
1641065,MR-PELVIS WO,72195,8280.75,2/6/2022,1738.9575,2898.2625,42231.825,3701.49525,513.4065,455.44125,3701.49525,1358.043,2500.7865,2202.6795,869.47875,753.54825,422.31825,480.2835,472.00275,42231.825,438.87975,488.56425
1314765,FACTOR V ASSAY,85220,1021.93,2/6/2022,214.6053,357.6755,5211.843,456.80271,63.35966,56.20615,456.80271,167.59652,308.62286,271.83338,107.30265,92.99563,52.11843,59.27194,58.25001,5211.843,54.16229,60.29387
7210264,DULOXETINE 30MG CAP,,30.5,2/6/2022,6.405,10.675,155.55,13.6335,1.891,1.6775,13.6335,5.002,9.211,8.113,3.2025,2.7755,1.5555,1.769,1.7385,155.55,1.6165,1.7995
1522131,IR-IRR PORT DRUG DEL,96523,267.7,2/6/2022,56.217,93.695,1365.27,119.6619,16.5974,14.7235,119.6619,43.9028,80.8454,71.2082,28.1085,24.3607,13.6527,15.5266,15.2589,1365.27,14.1881,15.7943
1825042,MASSG THRPY-15MN PTA,97124,205.8,2/6/2022,43.218,72.03,1049.58,91.9926,12.7596,11.319,91.9926,33.7512,62.1516,54.7428,21.609,18.7278,10.4958,11.9364,11.7306,1049.58,10.9074,12.1422
1210056,QUETIAPINE 200MGSRTB,,57.5,2/6/2022,12.075,20.125,293.25,25.7025,3.565,3.1625,25.7025,9.43,17.365,15.295,6.0375,5.2325,2.9325,3.335,3.2775,293.25,3.0475,3.3925
1417091,STAPLER/RELOAD 7,,7604.39,2/6/2022,1596.9219,2661.5365,38782.389,3399.16233,471.47218,418.24145,3399.16233,1247.11996,2296.52578,2022.76774,798.46095,691.99949,387.82389,441.05462,433.45023,38782.389,403.03267,448.65901
1061507,CC-R HRT ART-GRF ANG,93457,36985.9,2/6/2022,7767.039,12945.065,188628.09,16532.6973,2293.1258,2034.2245,16532.6973,6065.6876,11169.7418,9838.2494,3883.5195,3365.7169,1886.2809,2145.1822,2108.1963,188628.09,1960.2527,2182.1681
1321198,TIS HYBRD MUL PRB,88366,471.87,2/6/2022,99.0927,165.1545,2406.537,210.92589,29.25594,25.95285,210.92589,77.38668,142.50474,125.51742,49.54635,42.94017,24.06537,27.36846,26.89659,2406.537,25.00911,27.84033
1913257,IV HYDRAT EA ADD HR,96361,514.76,2/6/2022,108.0996,180.166,2625.276,230.09772,31.91512,28.3118,230.09772,84.42064,155.45752,136.92616,54.0498,46.84316,26.25276,29.85608,29.34132,2625.276,27.28228,30.37084
2850062,CTH PLC EXT CD W-ANG,36227,19128.26,2/6/2022,4016.9346,6694.891,97554.126,8550.33222,1185.95212,1052.0543,8550.33222,3137.03464,5776.73452,5088.11716,2008.4673,1740.67166,975.54126,1109.43908,1090.31082,97554.126,1013.79778,1128.56734
7210239,DIVALPROEX 250MGSRTB,,15,2/6/2022,3.15,5.25,76.5,6.705,0.93,0.825,6.705,2.46,4.53,3.99,1.575,1.365,0.765,0.87,0.855,76.5,0.795,0.885
1217108,TERBUTALINE 2.5MG TB,,4,2/6/2022,0.84,1.4,20.4,1.788,0.248,0.22,1.788,0.656,1.208,1.064,0.42,0.364,0.204,0.232,0.228,20.4,0.212,0.236
1217513,LEVOTHYROXIN 75MCGTB,,2.3,2/6/2022,0.483,0.805,11.73,1.0281,0.1426,0.1265,1.0281,0.3772,0.6946,0.6118,0.2415,0.2093,0.1173,0.1334,0.1311,11.73,0.1219,0.1357
1216981,AMITRIPTYLINE 10MG T,,2.3,2/6/2022,0.483,0.805,11.73,1.0281,0.1426,0.1265,1.0281,0.3772,0.6946,0.6118,0.2415,0.2093,0.1173,0.1334,0.1311,11.73,0.1219,0.1357
1510107,RT-RAD TX SIMU COMP,77290,4725.73,2/6/2022,992.4033,1654.0055,24101.223,2112.40131,292.99526,259.91515,2112.40131,775.01972,1427.17046,1257.04418,496.20165,430.04143,241.01223,274.09234,269.36661,24101.223,250.46369,278.81807
1814952,AQUA THRP-15 MIN PT,97113,288.33,2/6/2022,60.5493,100.9155,1470.483,128.88351,17.87646,15.85815,128.88351,47.28612,87.07566,76.69578,30.27465,26.23803,14.70483,16.72314,16.43481,1470.483,15.28149,17.01147
7211451,MONTELUKAST 4MG GRAN,,29,2/6/2022,6.09,10.15,147.9,12.963,1.798,1.595,12.963,4.756,8.758,7.714,3.045,2.639,1.479,1.682,1.653,147.9,1.537,1.711
1210922,CLEVIDIPINE 1MG INJ,C9248,15,2/6/2022,3.15,5.25,76.5,6.705,0.93,0.825,6.705,2.46,4.53,3.99,1.575,1.365,0.765,0.87,0.855,76.5,0.795,0.885
1314033,ETHOSUXIMIDE,80168,855.77,2/6/2022,179.7117,299.5195,4364.427,382.52919,53.05774,47.06735,382.52919,140.34628,258.44254,227.63482,89.85585,77.87507,43.64427,49.63466,48.77889,4364.427,45.35581,50.49043
1314445,"PSA, FREE",84154,396.39,2/6/2022,83.2419,138.7365,2021.589,177.18633,24.57618,21.80145,177.18633,65.00796,119.70978,105.43974,41.62095,36.07149,20.21589,22.99062,22.59423,2021.589,21.00867,23.38701
1218183,PEG 3350 255GM,,79,2/6/2022,16.59,27.65,402.9,35.313,4.898,4.345,35.313,12.956,23.858,21.014,8.295,7.189,4.029,4.582,4.503,402.9,4.187,4.661
1217559,LOXAPINE 5MG CAP,,4,2/6/2022,0.84,1.4,20.4,1.788,0.248,0.22,1.788,0.656,1.208,1.064,0.42,0.364,0.204,0.232,0.228,20.4,0.212,0.236
7212135,ACETYLCYS 20%INH 10M,,41,2/6/2022,8.61,14.35,209.1,18.327,2.542,2.255,18.327,6.724,12.382,10.906,4.305,3.731,2.091,2.378,2.337,209.1,2.173,2.419
1314520,VASOPRESSIN,84588,1304.83,2/6/2022,274.0143,456.6905,6654.633,583.25901,80.89946,71.76565,583.25901,213.99212,394.05866,347.08478,137.00715,118.73953,66.54633,75.68014,74.37531,6654.633,69.15599,76.98497
1219332,FLUORESC NA 1MG STRP,,5,2/6/2022,1.05,1.75,25.5,2.235,0.31,0.275,2.235,0.82,1.51,1.33,0.525,0.455,0.255,0.29,0.285,25.5,0.265,0.295
1217044,BENZ20-MENTH.5%SP56G,,48.5,2/6/2022,10.185,16.975,247.35,21.6795,3.007,2.6675,21.6795,7.954,14.647,12.901,5.0925,4.4135,2.4735,2.813,2.7645,247.35,2.5705,2.8615
1523114,CHEMO IV PUSH,96409,821.56,2/6/2022,172.5276,287.546,4189.956,367.23732,50.93672,45.1858,367.23732,134.73584,248.11112,218.53496,86.2638,74.76196,41.89956,47.65048,46.82892,4189.956,43.54268,48.47204
1217144,TRAM37.5-APAP325MGTB,,14,2/6/2022,2.94,4.9,71.4,6.258,0.868,0.77,6.258,2.296,4.228,3.724,1.47,1.274,0.714,0.812,0.798,71.4,0.742,0.826
1219138,TIAGABINE 4MG TAB,,34,2/6/2022,7.14,11.9,173.4,15.198,2.108,1.87,15.198,5.576,10.268,9.044,3.57,3.094,1.734,1.972,1.938,173.4,1.802,2.006
2850047,S-ILIAC REVAS ADD-ON,SURG,48089.17,2/6/2022,10098.7257,16831.2095,245254.767,21495.85899,2981.52854,2644.90435,21495.85899,7886.62388,14522.92934,12791.71922,5049.36285,4376.11447,2452.54767,2789.17186,2741.08269,245254.767,2548.72601,2837.26103
1621533,US-SCROTUM,76870,2451.65,2/6/2022,514.8465,858.0775,12503.415,1095.88755,152.0023,134.84075,1095.88755,402.0706,740.3983,652.1389,257.42325,223.10015,125.03415,142.1957,139.74405,12503.415,129.93745,144.64735
1670793,US-EXT COMP JNT BI,76881,1436.24,2/6/2022,301.6104,502.684,7324.824,641.99928,89.04688,78.9932,641.99928,235.54336,433.74448,382.03984,150.8052,130.69784,73.24824,83.30192,81.86568,7324.824,76.12072,84.73816
1610078,LE-HIP PV BI3OR4V DR,73522,1153.33,2/6/2022,242.1993,403.6655,5881.983,515.53851,71.50646,63.43315,515.53851,189.14612,348.30566,306.78578,121.09965,104.95303,58.81983,66.89314,65.73981,5881.983,61.12649,68.04647
1314826,REPTILASE TEST,85635,224.26,2/6/2022,47.0946,78.491,1143.726,100.24422,13.90412,12.3343,100.24422,36.77864,67.72652,59.65316,23.5473,20.40766,11.43726,13.00708,12.78282,1143.726,11.88578,13.23134
1120011,PACU LEV 1 EA ADD MN,,97.74,2/6/2022,20.5254,34.209,498.474,43.68978,6.05988,5.3757,43.68978,16.02936,29.51748,25.99884,10.2627,8.89434,4.98474,5.66892,5.57118,498.474,5.18022,5.76666
1612352,LE-LWEXT INFNT BI CR,73592,1528,2/6/2022,320.88,534.8,7792.8,683.016,94.736,84.04,683.016,250.592,461.456,406.448,160.44,139.048,77.928,88.624,87.096,7792.8,80.984,90.152
1913252,TRIAGE ONLY,T5999,456.12,2/6/2022,95.7852,159.642,2326.212,203.88564,28.27944,25.0866,203.88564,74.80368,137.74824,121.32792,47.8926,41.50692,23.26212,26.45496,25.99884,2326.212,24.17436,26.91108
2811473,S-INS CENTRAL PORT,SURG,5391.99,2/6/2022,1132.3179,1887.1965,27499.149,2410.21953,334.30338,296.55945,2410.21953,884.28636,1628.38098,1434.26934,566.15895,490.67109,274.99149,312.73542,307.34343,27499.149,285.77547,318.12741
1217548,LITHIUM CARB 300MGCP,,2.3,2/6/2022,0.483,0.805,11.73,1.0281,0.1426,0.1265,1.0281,0.3772,0.6946,0.6118,0.2415,0.2093,0.1173,0.1334,0.1311,11.73,0.1219,0.1357
1414759,MESH IMPLANTABLE 10,C1781,11488.25,2/6/2022,2412.5325,4020.8875,58590.075,5135.24775,712.2715,631.85375,5135.24775,1884.073,3469.4515,3055.8745,1206.26625,1045.43075,585.90075,666.3185,654.83025,58590.075,608.87725,677.80675
1212465,PALIPERID 1.5MG SRTB,,64,2/6/2022,13.44,22.4,326.4,28.608,3.968,3.52,28.608,10.496,19.328,17.024,6.72,5.824,3.264,3.712,3.648,326.4,3.392,3.776
2811403,S-RPL COMP NT CVC WO,SURG,5068.91,2/6/2022,1064.4711,1774.1185,25851.441,2265.80277,314.27242,278.79005,2265.80277,831.30124,1530.81082,1348.33006,532.23555,461.27081,258.51441,293.99678,288.92787,25851.441,268.65223,299.06569
1217275,CARBOPROST 250MCG/ML,,243,2/6/2022,51.03,85.05,1239.3,108.621,15.066,13.365,108.621,39.852,73.386,64.638,25.515,22.113,12.393,14.094,13.851,1239.3,12.879,14.337
1314534,"ANTIBODY ID,EA PANEL",86870,1089.26,2/6/2022,228.7446,381.241,5555.226,486.89922,67.53412,59.9093,486.89922,178.63864,328.95652,289.74316,114.3723,99.12266,55.55226,63.17708,62.08782,5555.226,57.73078,64.26634
1321195,TUMOR IHC QT UTO,88361,815.04,2/6/2022,171.1584,285.264,4156.704,364.32288,50.53248,44.8272,364.32288,133.66656,246.14208,216.80064,85.5792,74.16864,41.56704,47.27232,46.45728,4156.704,43.19712,48.08736
1218215,PROCHLORPER 25MG SUP,,18,2/6/2022,3.78,6.3,91.8,8.046,1.116,0.99,8.046,2.952,5.436,4.788,1.89,1.638,0.918,1.044,1.026,91.8,0.954,1.062
7212106,METHYLDOPA 250MG INJ,J0210,520,2/6/2022,109.2,182,2652,232.44,32.24,28.6,232.44,85.28,157.04,138.32,54.6,47.32,26.52,30.16,29.64,2652,27.56,30.68
1314283,GTT 3 SPEC,82951,1262.48,2/6/2022,265.1208,441.868,6438.648,564.32856,78.27376,69.4364,564.32856,207.04672,381.26896,335.81968,132.5604,114.88568,64.38648,73.22384,71.96136,6438.648,66.91144,74.48632
1210068,BUDES/FORM 80/4.5PUF,,16.5,2/6/2022,3.465,5.775,84.15,7.3755,1.023,0.9075,7.3755,2.706,4.983,4.389,1.7325,1.5015,0.8415,0.957,0.9405,84.15,0.8745,0.9735
1417110,FALLOPIAN BANDS,C1889,303.75,2/6/2022,63.7875,106.3125,1549.125,135.77625,18.8325,16.70625,135.77625,49.815,91.7325,80.7975,31.89375,27.64125,15.49125,17.6175,17.31375,1549.125,16.09875,17.92125
1216928,ROTIGOT 2MG/24HR PTC,,221,2/6/2022,46.41,77.35,1127.1,98.787,13.702,12.155,98.787,36.244,66.742,58.786,23.205,20.111,11.271,12.818,12.597,1127.1,11.713,13.039
1331037,S-H CRYO EACH UNIT,P9012,804.73,2/6/2022,168.9933,281.6555,4104.123,359.71431,49.89326,44.26015,359.71431,131.97572,243.02846,214.05818,84.49665,73.23043,41.04123,46.67434,45.86961,4104.123,42.65069,47.47907
