SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL TOTAL (IP & OP),BCBSAL - CHS EEs,UHC,AETNA,CIGNA,VIVA HEALTH,HUMANA,HUMANA MCR,BCBSAL MCR,UHC MCR,CIGNA HEALTHSPRING MCR,AETNA/COVENTRY MCR,MULTIPLAN
7210240,ERLOTINIB 150MG TAB,,962.16,2/6/2022,202.0536,336.756,62.5404,151.05912,81.7836,68.31336,99.10248,129.8916,98.14032,151.05912,136.62672,63.50256,65.42688,63.50256,62.5404,65.42688,62.5404
1550048,PHLEB VEIN EXT 10-20,SURG,32668.67,2/6/2022,6860.4207,11434.0345,2123.46355,5128.98119,2776.83695,2319.47557,3364.87301,4410.27045,3332.20434,5128.98119,4638.95114,2156.13222,2221.46956,2156.13222,2123.46355,2221.46956,2123.46355
1218095,NITROGLYC 6.5MG CRCP,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1217618,RACEPINEPH 2.25% .5M,,112.74,2/6/2022,23.6754,39.459,7.3281,17.70018,9.5829,8.00454,11.61222,15.2199,11.49948,17.70018,16.00908,7.44084,7.66632,7.44084,7.3281,7.66632,7.3281
1316536,LAMOTRIGINE QT,80175,170.29,2/6/2022,35.7609,59.6015,11.06885,26.73553,14.47465,12.09059,17.53987,22.98915,17.36958,26.73553,24.18118,11.23914,11.57972,11.23914,11.06885,11.57972,11.06885
1131114,ANES LV 4 INI 15 MIN,,5098.39,2/6/2022,1070.6619,1784.4365,331.39535,800.44723,433.36315,361.98569,525.13417,688.28265,520.03578,800.44723,723.97138,336.49374,346.69052,336.49374,331.39535,346.69052,331.39535
7212117,GLUCAGON 1MG INJ,J1610,1160.85,2/6/2022,243.7785,406.2975,75.45525,182.25345,98.67225,82.42035,119.56755,156.71475,118.4067,182.25345,164.8407,76.6161,78.9378,76.6161,75.45525,78.9378,75.45525
1573347,LE-FOOT 3VWPLS BI CR,73630,2622.72,2/6/2022,550.7712,917.952,170.4768,411.76704,222.9312,186.21312,270.14016,354.0672,267.51744,411.76704,372.42624,173.09952,178.34496,173.09952,170.4768,178.34496,170.4768
1218568,POVI-IODIN 10% 15ML,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1315084,LEUKOCY ASSES FEC QL,89055,109.64,2/6/2022,23.0244,38.374,7.1266,17.21348,9.3194,7.78444,11.29292,14.8014,11.18328,17.21348,15.56888,7.23624,7.45552,7.23624,7.1266,7.45552,7.1266
7212190,PHENTOLAMINE 5MG INJ,J2760,1679.15,2/6/2022,352.6215,587.7025,109.14475,263.62655,142.72775,119.21965,172.95245,226.68525,171.2733,263.62655,238.4393,110.8239,114.1822,110.8239,109.14475,114.1822,109.14475
1417025,TISSUE MARKR IMPLT 1,A4648,598.57,2/6/2022,125.6997,209.4995,38.90705,93.97549,50.87845,42.49847,61.65271,80.80695,61.05414,93.97549,84.99694,39.50562,40.70276,39.50562,38.90705,40.70276,38.90705
2540009,HE-FACIAL BNES 3V CR,70150,1845.35,2/6/2022,387.5235,645.8725,119.94775,289.71995,156.85475,131.01985,190.07105,249.12225,188.2257,289.71995,262.0397,121.7931,125.4838,121.7931,119.94775,125.4838,119.94775
1321091,PATH CONSULT INT-1BL,88331,844.47,2/6/2022,177.3387,295.5645,54.89055,132.58179,71.77995,59.95737,86.98041,114.00345,86.13594,132.58179,119.91474,55.73502,57.42396,55.73502,54.89055,57.42396,54.89055
1681019,MR-BRAIN WO,70551,8482.09,2/6/2022,1781.2389,2968.7315,551.33585,1331.68813,720.97765,602.22839,873.65527,1145.08215,865.17318,1331.68813,1204.45678,559.81794,576.78212,559.81794,551.33585,576.78212,551.33585
1219732,BISACODYL ENEMA 37ML,,112.74,2/6/2022,23.6754,39.459,7.3281,17.70018,9.5829,8.00454,11.61222,15.2199,11.49948,17.70018,16.00908,7.44084,7.66632,7.44084,7.3281,7.66632,7.3281
1314535,DIRECT COOMBS TEST,86880,191.29,2/6/2022,40.1709,66.9515,12.43385,30.03253,16.25965,13.58159,19.70287,25.82415,19.51158,30.03253,27.16318,12.62514,13.00772,12.62514,12.43385,13.00772,12.43385
1631506,CT-UPPER EXT WWO BI,73202,17547.82,2/6/2022,3685.0422,6141.737,1140.6083,2755.00774,1491.5647,1245.89522,1807.42546,2368.9557,1789.87764,2755.00774,2491.79044,1158.15612,1193.25176,1158.15612,1140.6083,1193.25176,1140.6083
1210147,ALTEPLASE RECOM 1MG,J2997,481.35,2/6/2022,101.0835,168.4725,31.28775,75.57195,40.91475,34.17585,49.57905,64.98225,49.0977,75.57195,68.3517,31.7691,32.7318,31.7691,31.28775,32.7318,31.28775
1210439,CLOBETAS .05% CR 15G,,258.29,2/6/2022,54.2409,90.4015,16.78885,40.55153,21.95465,18.33859,26.60387,34.86915,26.34558,40.55153,36.67718,17.04714,17.56372,17.04714,16.78885,17.56372,16.78885
1670174,CT-NECK SOFT TIS W,70491,8020.64,2/6/2022,1684.3344,2807.224,521.3416,1259.24048,681.7544,569.46544,826.12592,1082.7864,818.10528,1259.24048,1138.93088,529.36224,545.40352,529.36224,521.3416,545.40352,521.3416
1570153,LE-HIP PV BI MIN5VCR,73523,2506.68,2/6/2022,526.4028,877.338,162.9342,393.54876,213.0678,177.97428,258.18804,338.4018,255.68136,393.54876,355.94856,165.44088,170.45424,165.44088,162.9342,170.45424,162.9342
1610155,LE-TOE S 2VWS BI DR,73660,2098.69,2/6/2022,440.7249,734.5415,136.41485,329.49433,178.38865,149.00699,216.16507,283.32315,214.06638,329.49433,298.01398,138.51354,142.71092,138.51354,136.41485,142.71092,136.41485
2540230,LE-FOOT 3V PLUS CR,73630,1312.35,2/6/2022,275.5935,459.3225,85.30275,206.03895,111.54975,93.17685,135.17205,177.16725,133.8597,206.03895,186.3537,86.6151,89.2398,86.6151,85.30275,89.2398,85.30275
1061506,CC-R HRT CORONRY ART,93456,39121.17,2/6/2022,8215.4457,13692.4095,2542.87605,6142.02369,3325.29945,2777.60307,4029.48051,5281.35795,3990.35934,6142.02369,5555.20614,2581.99722,2660.23956,2581.99722,2542.87605,2660.23956,2542.87605
1213548,METHADONE 2MG/ML 1ML,,2.32,2/6/2022,0.4872,0.812,0.1508,0.36424,0.1972,0.16472,0.23896,0.3132,0.23664,0.36424,0.32944,0.15312,0.15776,0.15312,0.1508,0.15776,0.1508
1612189,LE-TIB FIB 2V CR,73590,1218.95,2/6/2022,255.9795,426.6325,79.23175,191.37515,103.61075,86.54545,125.55185,164.55825,124.3329,191.37515,173.0909,80.4507,82.8886,80.4507,79.23175,82.8886,79.23175
1410035,LEAD AICD NO-SING L5,C1896,68024.45,2/6/2022,14285.1345,23808.5575,4421.58925,10679.83865,5782.07825,4829.73595,7006.51835,9183.30075,6938.4939,10679.83865,9659.4719,4489.6137,4625.6626,4489.6137,4421.58925,4625.6626,4421.58925
1210184,ENOXAPARIN 10MG INJ,J1650,109.17,2/6/2022,22.9257,38.2095,7.09605,17.13969,9.27945,7.75107,11.24451,14.73795,11.13534,17.13969,15.50214,7.20522,7.42356,7.20522,7.09605,7.42356,7.09605
1071400,EP-RV RECORD,93603,11693.21,2/6/2022,2455.5741,4092.6235,760.05865,1835.83397,993.92285,830.21791,1204.40063,1578.58335,1192.70742,1835.83397,1660.43582,771.75186,795.13828,771.75186,760.05865,795.13828,760.05865
1221161,AA 5%/D25W 2000ML,,646.22,2/6/2022,135.7062,226.177,42.0043,101.45654,54.9287,45.88162,66.56066,87.2397,65.91444,101.45654,91.76324,42.65052,43.94296,42.65052,42.0043,43.94296,42.0043
1217635,ESTRADIOL/NORET 1-.5,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1131121,ANES LV 1 EA ADD MIN,,5.95,2/6/2022,1.2495,2.0825,0.38675,0.93415,0.50575,0.42245,0.61285,0.80325,0.6069,0.93415,0.8449,0.3927,0.4046,0.3927,0.38675,0.4046,0.38675
1314299,GROWTH HORMONE,83003,134.14,2/6/2022,28.1694,46.949,8.7191,21.05998,11.4019,9.52394,13.81642,18.1089,13.68228,21.05998,19.04788,8.85324,9.12152,8.85324,8.7191,9.12152,8.7191
1314497,TRIGLYCERIDES,84478,97.98,2/6/2022,20.5758,34.293,6.3687,15.38286,8.3283,6.95658,10.09194,13.2273,9.99396,15.38286,13.91316,6.46668,6.66264,6.46668,6.3687,6.66264,6.3687
1217652,FAMOTIDINE 20MG TAB,,1.26,2/6/2022,0.2646,0.441,0.0819,0.19782,0.1071,0.08946,0.12978,0.1701,0.12852,0.19782,0.17892,0.08316,0.08568,0.08316,0.0819,0.08568,0.0819
1216947,ACETAMINOPHEN 325MG,,1.26,2/6/2022,0.2646,0.441,0.0819,0.19782,0.1071,0.08946,0.12978,0.1701,0.12852,0.19782,0.17892,0.08316,0.08568,0.08316,0.0819,0.08568,0.0819
1612175,UE-WRIST 3V PLUS CR,73110,1312.35,2/6/2022,275.5935,459.3225,85.30275,206.03895,111.54975,93.17685,135.17205,177.16725,133.8597,206.03895,186.3537,86.6151,89.2398,86.6151,85.30275,89.2398,85.30275
1612379,S-RM RENAL TUBE W FL,SURG,6733.11,2/6/2022,1413.9531,2356.5885,437.65215,1057.09827,572.31435,478.05081,693.51033,908.96985,686.77722,1057.09827,956.10162,444.38526,457.85148,444.38526,437.65215,457.85148,437.65215
1218394,OLMESARTAN 20MG TAB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
2540008,HE-FACIAL BNS LTD CR,70140,1845.35,2/6/2022,387.5235,645.8725,119.94775,289.71995,156.85475,131.01985,190.07105,249.12225,188.2257,289.71995,262.0397,121.7931,125.4838,121.7931,119.94775,125.4838,119.94775
1218008,MIRTAZAPINE 15MG ODT,,10.91,2/6/2022,2.2911,3.8185,0.70915,1.71287,0.92735,0.77461,1.12373,1.47285,1.11282,1.71287,1.54922,0.72006,0.74188,0.72006,0.70915,0.74188,0.70915
1210007,IVIG (OCTAGAM) 500MG,J1568,671.95,2/6/2022,141.1095,235.1825,43.67675,105.49615,57.11575,47.70845,69.21085,90.71325,68.5389,105.49615,95.4169,44.3487,45.6926,44.3487,43.67675,45.6926,43.67675
1570003,SP-T SPINE 2 VIEW CR,72070,1448.44,2/6/2022,304.1724,506.954,94.1486,227.40508,123.1174,102.83924,149.18932,195.5394,147.74088,227.40508,205.67848,95.59704,98.49392,95.59704,94.1486,98.49392,94.1486
1854987,OT EVAL-HGH CMP COTA,97167,462.83,2/6/2022,97.1943,161.9905,30.08395,72.66431,39.34055,32.86093,47.67149,62.48205,47.20866,72.66431,65.72186,30.54678,31.47244,30.54678,30.08395,31.47244,30.08395
1815044,GRP THRP PRC-VST PTA,97150,180.32,2/6/2022,37.8672,63.112,11.7208,28.31024,15.3272,12.80272,18.57296,24.3432,18.39264,28.31024,25.60544,11.90112,12.26176,11.90112,11.7208,12.26176,11.7208
1210830,ATAZANAVIR 300MG CAP,,257.81,2/6/2022,54.1401,90.2335,16.75765,40.47617,21.91385,18.30451,26.55443,34.80435,26.29662,40.47617,36.60902,17.01546,17.53108,17.01546,16.75765,17.53108,16.75765
7211698,DEXTROAMPHETA 5MG TB,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1218961,NAPH-GLYC.012-.2 15M,,112.74,2/6/2022,23.6754,39.459,7.3281,17.70018,9.5829,8.00454,11.61222,15.2199,11.49948,17.70018,16.00908,7.44084,7.66632,7.44084,7.3281,7.66632,7.3281
1211216,DOBUTAMINE 250MG INJ,J1250,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1218035,MORPHINE 15MG SR TAB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1315881,COPPER SERUM,82525,83.98,2/6/2022,17.6358,29.393,5.4587,13.18486,7.1383,5.96258,8.64994,11.3373,8.56596,13.18486,11.92516,5.54268,5.71064,5.54268,5.4587,5.71064,5.4587
1573341,LE-ANKLE 2VW BI CR,73600,1559.7,2/6/2022,327.537,545.895,101.3805,244.8729,132.5745,110.7387,160.6491,210.5595,159.0894,244.8729,221.4774,102.9402,106.0596,102.9402,101.3805,106.0596,101.3805
7212065,DEX 5%/WATER 50ML,,226.01,2/6/2022,47.4621,79.1035,14.69065,35.48357,19.21085,16.04671,23.27903,30.51135,23.05302,35.48357,32.09342,14.91666,15.36868,14.91666,14.69065,15.36868,14.69065
7211295,LOPERA 1MG/7.5ML 7.5,,20.41,2/6/2022,4.2861,7.1435,1.32665,3.20437,1.73485,1.44911,2.10223,2.75535,2.08182,3.20437,2.89822,1.34706,1.38788,1.34706,1.32665,1.38788,1.32665
1410014,OTH STER SUPP LVL 14,,32132.3,2/6/2022,6747.783,11246.305,2088.5995,5044.7711,2731.2455,2281.3933,3309.6269,4337.8605,3277.4946,5044.7711,4562.7866,2120.7318,2184.9964,2120.7318,2088.5995,2184.9964,2088.5995
1631533,CT-CHEST DIAG WWO,71270,10402.96,2/6/2022,2184.6216,3641.036,676.1924,1633.26472,884.2516,738.61016,1071.50488,1404.3996,1061.10192,1633.26472,1477.22032,686.59536,707.40128,686.59536,676.1924,707.40128,676.1924
1212964,CARBOXYME .5%OS 15ML,,48.6,2/6/2022,10.206,17.01,3.159,7.6302,4.131,3.4506,5.0058,6.561,4.9572,7.6302,6.9012,3.2076,3.3048,3.2076,3.159,3.3048,3.159
1612282,IR-ARTHROGRAM HIP CR,73525,5880.15,2/6/2022,1234.8315,2058.0525,382.20975,923.18355,499.81275,417.49065,605.65545,793.82025,599.7753,923.18355,834.9813,388.0899,399.8502,388.0899,382.20975,399.8502,382.20975
1321048,TISSUE CULT LYMPHOCY,88230,754.66,2/6/2022,158.4786,264.131,49.0529,118.48162,64.1461,53.58086,77.72998,101.8791,76.97532,118.48162,107.16172,49.80756,51.31688,49.80756,49.0529,51.31688,49.0529
1414801,PEEL-AWAY SHEATH 2,C1892,2136.41,2/6/2022,448.6461,747.7435,138.86665,335.41637,181.59485,151.68511,220.05023,288.41535,217.91382,335.41637,303.37022,141.00306,145.27588,141.00306,138.86665,145.27588,138.86665
1316687,ANTIEPILP NOS MS 1-3,80339,89.81,2/6/2022,18.8601,31.4335,5.83765,14.10017,7.63385,6.37651,9.25043,12.12435,9.16062,14.10017,12.75302,5.92746,6.10708,5.92746,5.83765,6.10708,5.83765
1212434,FENTAN 20MCG/ML PCA,,15,2/6/2022,3.15,5.25,0.975,2.355,1.275,1.065,1.545,2.025,1.53,2.355,2.13,0.99,1.02,0.99,0.975,1.02,0.975
1219146,TIMOLOL 0.5% OS 5ML,,170.39,2/6/2022,35.7819,59.6365,11.07535,26.75123,14.48315,12.09769,17.55017,23.00265,17.37978,26.75123,24.19538,11.24574,11.58652,11.24574,11.07535,11.58652,11.07535
1417087,STAPLER/RELOAD 3,,3740.34,2/6/2022,785.4714,1309.119,243.1221,587.23338,317.9289,265.56414,385.25502,504.9459,381.51468,587.23338,531.12828,246.86244,254.34312,246.86244,243.1221,254.34312,243.1221
1314676,"EPSTEIN-BARR, VCA",86665,141.13,2/6/2022,29.6373,49.3955,9.17345,22.15741,11.99605,10.02023,14.53639,19.05255,14.39526,22.15741,20.04046,9.31458,9.59684,9.31458,9.17345,9.59684,9.17345
7210079,ALFUZOSIN 10MG SR TB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
7212343,LEVOFLOXAC 250MG INJ,J1956,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1217742,BUT50-APAP325-CF40TB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1070061,P-REVSE POCKET ICD,SURG,19077.91,2/6/2022,4006.3611,6677.2685,1240.06415,2995.23187,1621.62235,1354.53161,1965.02473,2575.51785,1945.94682,2995.23187,2709.06322,1259.14206,1297.29788,1259.14206,1240.06415,1297.29788,1240.06415
1217267,CAPTOPRIL 25MG TAB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1217275,CARBOPROST 250MCG/ML,,1412.69,2/6/2022,296.6649,494.4415,91.82485,221.79233,120.07865,100.30099,145.50707,190.71315,144.09438,221.79233,200.60198,93.23754,96.06292,93.23754,91.82485,96.06292,91.82485
1314527,C-PEPTIDE,84681,151.63,2/6/2022,31.8423,53.0705,9.85595,23.80591,12.88855,10.76573,15.61789,20.47005,15.46626,23.80591,21.53146,10.00758,10.31084,10.00758,9.85595,10.31084,9.85595
1217088,BUSPIRONE HCL 5MG TB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
7210299,EPLERENONE 25MG TAB,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1218938,VERAPAMIL 40 MG TAB,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1050089,NI-TEE COMP 2D MM WO,93312,9444.99,2/6/2022,1983.4479,3305.7465,613.92435,1482.86343,802.82415,670.59429,972.83397,1275.07365,963.38898,1482.86343,1341.18858,623.36934,642.25932,623.36934,613.92435,642.25932,613.92435
7212021,NALOXONE HCL 1MG INJ,J2310,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1210975,MICAFUNGIN 1MG INJ,J2248,31.3,2/6/2022,6.573,10.955,2.0345,4.9141,2.6605,2.2223,3.2239,4.2255,3.1926,4.9141,4.4446,2.0658,2.1284,2.0658,2.0345,2.1284,2.0345
1217377,DANTROLENE 25MG CAP,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1210295,VITAMIN A&D OIN 120G,,112.74,2/6/2022,23.6754,39.459,7.3281,17.70018,9.5829,8.00454,11.61222,15.2199,11.49948,17.70018,16.00908,7.44084,7.66632,7.44084,7.3281,7.66632,7.3281
1214533,TRIFL20-TIPI8.19MGTB,C9399,851.45,2/6/2022,178.8045,298.0075,55.34425,133.67765,72.37325,60.45295,87.69935,114.94575,86.8479,133.67765,120.9059,56.1957,57.8986,56.1957,55.34425,57.8986,55.34425
1217612,EPINEPHRINE 1MG/10ML,,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1217017,ATOVAQU 150MG/ML 5ML,,186.78,2/6/2022,39.2238,65.373,12.1407,29.32446,15.8763,13.26138,19.23834,25.2153,19.05156,29.32446,26.52276,12.32748,12.70104,12.32748,12.1407,12.70104,12.1407
1221061,KCL20-NS.2-D5W1000ML,,226.01,2/6/2022,47.4621,79.1035,14.69065,35.48357,19.21085,16.04671,23.27903,30.51135,23.05302,35.48357,32.09342,14.91666,15.36868,14.91666,14.69065,15.36868,14.69065
2540131,SP-SCRM COCCYX 2V CR,72220,1340.16,2/6/2022,281.4336,469.056,87.1104,210.40512,113.9136,95.15136,138.03648,180.9216,136.69632,210.40512,190.30272,88.45056,91.13088,88.45056,87.1104,91.13088,87.1104
1670362,CTA-ABDOMEN,74175,13280.48,2/6/2022,2788.9008,4648.168,863.2312,2085.03536,1128.8408,942.91408,1367.88944,1792.8648,1354.60896,2085.03536,1885.82816,876.51168,903.07264,876.51168,863.2312,903.07264,863.2312
1214324,POSACONAZ 100MG DRTB,,345.29,2/6/2022,72.5109,120.8515,22.44385,54.21053,29.34965,24.51559,35.56487,46.61415,35.21958,54.21053,49.03118,22.78914,23.47972,22.78914,22.44385,23.47972,22.44385
1217082,BUPIVA/EPI .25%-1:20,,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1217165,TROPICAMID 1%OS 15ML,,541.93,2/6/2022,113.8053,189.6755,35.22545,85.08301,46.06405,38.47703,55.81879,73.16055,55.27686,85.08301,76.95406,35.76738,36.85124,35.76738,35.22545,36.85124,35.22545
1217272,TEGRETOL 100MG/5ML,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1219423,LIDOCAIN 2%/EPI 20ML,,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1217798,MINERAL OIL EN 135ML,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
7210488,METOPROLOL 25MG ERTB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1061508,CC-L HRT ARTERY-VENT,93458,38748.23,2/6/2022,8137.1283,13561.8805,2518.63495,6083.47211,3293.59955,2751.12433,3991.06769,5231.01105,3952.31946,6083.47211,5502.24866,2557.38318,2634.87964,2557.38318,2518.63495,2634.87964,2518.63495
1631535,CT-CERV SPINE WO,72125,9628.53,2/6/2022,2021.9913,3369.9855,625.85445,1511.67921,818.42505,683.62563,991.73859,1299.85155,982.11006,1511.67921,1367.25126,635.48298,654.74004,635.48298,625.85445,654.74004,625.85445
2540225,LE-ANKLE 3VPLUS CR,73610,1218.95,2/6/2022,255.9795,426.6325,79.23175,191.37515,103.61075,86.54545,125.55185,164.55825,124.3329,191.37515,173.0909,80.4507,82.8886,80.4507,79.23175,82.8886,79.23175
1219464,NA THIOSULF 25% 50ML,,624.83,2/6/2022,131.2143,218.6905,40.61395,98.09831,53.11055,44.36293,64.35749,84.35205,63.73266,98.09831,88.72586,41.23878,42.48844,41.23878,40.61395,42.48844,40.61395
7212144,GEMCITABIN 200MG INJ,J9201,1703.75,2/6/2022,357.7875,596.3125,110.74375,267.48875,144.81875,120.96625,175.48625,230.00625,173.7825,267.48875,241.9325,112.4475,115.855,112.4475,110.74375,115.855,110.74375
7212160,ACYCLOVIR 5MG INJ,J0133,6.16,2/6/2022,1.2936,2.156,0.4004,0.96712,0.5236,0.43736,0.63448,0.8316,0.62832,0.96712,0.87472,0.40656,0.41888,0.40656,0.4004,0.41888,0.4004
1410023,TUBE DRAIN CATH 3,,934.7,2/6/2022,196.287,327.145,60.7555,146.7479,79.4495,66.3637,96.2741,126.1845,95.3394,146.7479,132.7274,61.6902,63.5596,61.6902,60.7555,63.5596,60.7555
1210732,HYDROMOR.2MG/ML 100M,,453.03,2/6/2022,95.1363,158.5605,29.44695,71.12571,38.50755,32.16513,46.66209,61.15905,46.20906,71.12571,64.33026,29.89998,30.80604,29.89998,29.44695,30.80604,29.44695
1691158,IR-FEM POP REVAS TLA,SURG,99999.42,2/6/2022,20999.8782,34999.797,6499.9623,15699.90894,8499.9507,7099.95882,10299.94026,13499.9217,10199.94084,15699.90894,14199.91764,6599.96172,6799.96056,6599.96172,6499.9623,6799.96056,6499.9623
