CLAY COUNTY HOSPITAL,,,
CHARGEMASTER,,,
,,,
DESCRIPTION,CPT CD,CHARGE,
Advair DISKUS 100/50   {60 DOSE-CH/DOSE},,18.57,
Advair DISKUS 250/50   {60 DOSE-CH/DOSE},,13.25,
Advair DISKUS 500/50   {14 DOSE-CH/DOSE},,40,
Advair DISKUS 500/50   {60 DOSE-CH/DOSE},,15.5,
Advair HFA 230/21mcg INHALER 12 GM CH/GM,,119.61,
ADVANCED NOVASURE DEVICE,,3343,
ADVIL COLD AND SINUS,,6,
AEROCHAMBER,,22,
AEROCHAMBER INHALER,,32,
AEROCHAMBER PLUS WITH MASK,,90,
AGGRENOX CAP   25MG/200MG UD,,24,
AIRBORNE IMMUNE CHEW TAB,,6,
AIRWAY #20FR. NASOPHARYGEAL,,13,
AIRWAY #22FR. NASOPHARYGEAL,,13,
AIRWAY #24FR. NASOPHARYGEAL,,13,
AIRWAY #26FR. NASOPHARYGEAL,,13,
AIRWAY #28FR. NASOPHARYGEAL,,13,
AIRWAY #30FR. NASOPHARYGEAL,,13,
AIRWAY #32FR. NASOPHARYGEAL,,13,
AIRWAY #6 NASAL 28FR,,13,
AIRWAY #7 NASAL 30FR,,13,
AIRWAY #8 NASAL 32FR,,13,
AIRWAY CHILD 60MM,,4,
AIRWAY INFANT 50MM,,4,
AIRWAY LG ADULT 100MM,,4,
AIRWAY MEDIUM ADULT 90MM,,4,
AIRWAY SMALL ADULT 80MM,,4,
AIRWAY XL ADULT 110MM,,4,
AK-DILATE 2.5% OPHTH SOLN,,7,
AKWA TEARS EYE DROPS 15ML  CH/1 UD,,8,
AKWA TEARS LUBRICANT EYE OINT  CH/GM 3.5,,5,
ALAHIST PE 2MG/10MG TAB,,6,
ALBUMIN (HUMAN) 25gm bt  ch/5 GM,P9046,50,
ALBUTEROL (PROVENTIL) SYRUP 2MG/5ML,,0.45,
ALBUTEROL 0.5% INHALATION SOLN   CH/ML,,9,
ALBUTEROL CONT. CH PER BT,,25,
ALBUTEROL INH SOL 0.5% 2.5MG/0.5ML PREMI,J7620,9,
ALBUTEROL INH SOLN 0.63MG PREMIXED,J7620,6,
ALCOHOL 70% ISOPROPYL  16 OZ CH/BT,,4,
ALENDRONATE 70MG TAB (1/WK} {FOSAMAX},,39,
ALEVE PM TAB,,6,
ALFENTA 500mcg/ML 5ML ALFENTANIL,,47,
ALFUZOSIN (UROXATRAL) ER 10MG TAB,,6,
ALGINATE MAXORB 4X4,,7,
ALINIA 500MG TAB,,36,
Allegra-D 24H   180/240MG,,7,
Allegra-D TAB   60MG/120MG UD,,6,
ALLERGEN ASSOC. ITEM #1   ID 152880,8600391,8,
ALLERGEN ASSOC. ITEM #2   ID 152881,8600391,8,
ALLERGEN ASSOC. ITEM #3   ID 152882,8600391,8,
ALLERGEN ASSOC. ITEM #4   ID 152883,8600391,8,
ALLERGEN ASSOC. ITEM #5  ID 152884,8600391,8,
ALLERGEN ASSOC. ITEM #6   ID 152885,8600391,8,
ALLOPURINOL TAB {ZYLOPRIM} 300MG UD,,6,
ALLOPURINOL TAB {ZYLOPRIM}100MG UD,,6,
ALOE GEL,,10,
ALOE VESTA 3 IN 1  OINT (CH1),,8,
ALOE VESTA BODY WASH/SHAMPOO,,18,
ALOE VESTA OINT  226GM TUBE  (CH1),,18,
ALPHAGAN P 0.15% EYE DROPS (BRIMONIDINE),,15.3,
ALPHAGAN-P 0.1% OPHTH SOLN CH/ML,,53,
ALPHAGAN-P 0.15% EYE DROP 10ML CH/ML,,100.2,
ALPRAZolam (Xanax) TAB  0.25MG UD,,7,
ALPRAZolam {Xanax} TAB  0.5MG UD,,7,
ALPRAZolam {Xanax} TAB  1MG UD,,7,
ALPRAZolam {Xanax} TAB 2MG,,7,
ALREX OPTH SUSP 0.2% 5ML CH/ML,,78,
ALUMINUM HYDROXIDE GEL {AMPHOGEL} PER ML,,0.03,
AMANTADINE CAP 100MG {SYMMETREL},,4,
AMARYL 2MG TAB,,4,
AMARYL 4MG TAB,,4,
AMBIEN CR 6.25MG TABS,,10,
AMIDATE {ETOMIDATE} INJ  20MG/10ML AMP,,80,
AMIKACIN INJ,,18,
aMILoride HCL (MIDAMOR) 5MG TAB,,6,
AMINOPHYLLIN 250MG VIAL,J0280,30,
AMINOPHYLLIN 500MG VIAL,J0280,19,
AMINOSYN 3.5 %,,40,
AMIODARONE :  450MG/9ML VIAL,,50,
AMIODARONE {CORDARONE} TAB  200MG,,6,
AMIODARONE {CORDARONE} TAB  200MG UD,,6,
AMIODARONE IV 150MG (CORDARONE) BOLUS,J0282,35,
AMITIZA  CAPSULE  24MCG {LUBIPROSTONE},,17,
AMITIZA CAPSULE  8MCG {LUBIPROSTONE},,17.38,
AMITRIPTYLINE (ELAVIL) TAB 100MG,,4,
AMITRIPTYLINE {ELAVIL} TAB 10MG,,6,
AMITRIPTYLINE {ELAVIL} TAB 25MG UD,,6,
AMITRIPTYLINE TAB 75MG,,6,
amLODIpine  (NORVASC) TAB  10MG UD,,6,
amLODIpine (NORVASC) TAB  2.5mg UD,,6,
amLODIpine (NORVASC) TAB  5mg  UD,,6,
amLODIpine 5MG (NORVASC),,6,
amLODIpine/BENAZEPRIL 10MG/20MG,,6.5,
amLODIpine/BENAZEPRIL 5/10MG LOTREL UD,,6,
amLODIpine/VALSARTAN(EXFORGE) 10MG/320MG,,8,
amLODIpine-BENAZEPRIL 2.5/10MG LOTREL,,5,
amLODIpine-BENAZEPRIL 5/20MG LOTREL UD,,5,
AMMONIA INHALERS,,6,
AMMONIUM LACTATE 12% CH/GM 140GM,,0.12,
AMNIHOOK  9601,,8,
AMNIOGRAFT,66999,1997,
AMNIOGRAFT AG 2520,V2790,2365,
AMOPE PEDI PERFECT,,62,
AMOPE PEDI REFILL,,25,
AMOXAPINE 50MG TAB,,6,
AMOXICIL/CLAV POTAS 400MG/5ML 50ML CH/ML,,0.5,
AMOXICIL/CLAV POTAS 400MG/5ML 75ML CH/ML,,35,
AMOXICIL/CLAVU 600-42.9/5ML 200ML CH/ML,,0.38,
AMOXICIL/CLAVU 600-42.9/5ML 75ML CH/ML,,0.45,
AMOXICIL/CLAVUL {AUGUMENT}  875/125MG UD,,12,
AMOXICIL/CLAVULANA TAB ER 1000MG/62.5,,8,
AMOXICIL/CLAVULANATE   500MG/125MG UD,,6,
AMOXICILLIN  SUSP  400MG/5ML    CH/ML,,2,
AMOXICILLIN 125MG/5ML 150ML BT  CH/ML,,0.15,
AMOXICILLIN 125MG/5ML 80ML,,0.75,
AMOXICILLIN 200MG/5ML  80ML,,1.2,
AMOXICILLIN 250MG/5ML SINGLE DOSE,,4,
AMOXICILLIN CAP   500MG,,6,
AMOXICILLIN CAP 250MG,,6,
AMOXICILLIN SUSP   250MG/5ML 100ML CH/ML,,0.85,
AMOXICILLIN SUSP   250MG/5ML 150ML CH/ML,,19,
AMOXICILLIN SUSP   250MG/5ML 80ML,,0.65,
AMOXICILLIN TABS 875MG,,6,
AMOXIL / CLAVU   250MG/5ML 75ML CH/ML,,1.1,
AMOXIL SUSP   125ML/5ML  100ML CH/CC,,0.6,
AMOXIL/CLAVU 250MG/5ML 150ML CH/ML,,0.9,
AMPHETAMINE SALT {Adderall}  10MG TAB,,6,
AMPHETAMINE SALT {Adderall}  20MG TAB,,6,
AMPICILLIN CAPS 500MG,,6,
AMPICILLIN INJ 1GM VIAL,J0290,40,
AMPUTATE METATARSAL W/TOE SINGLE,28810,6500,
AMPUTATE TOE IPJ JOINT,28825,6630,
AMPUTATE TOE MTP JOINT,28820,3536,
"AMPUTATE, REVISION, FINGER",26951,2717,
AMPUTATION FINGER OR THUMB W/DIRECT CLOS,26951,1242,
AMPUTATION FINGER OR THUMB W/LCL ADV FLP,26952,1525,
AMPUTATION FINGER W/FLAP,26952,3815,
AMPUTATION FOOT-TRANSMETATARSAL,28805,4091,
AMPUTATION LEG THROUGH TIBIA & FIBULA,27880,5603,
AMPUTATION LEG THROUGH TIBIA & FIBULA OP,27882,6200,
AMPUTATION MID-TARSAL,28800,3716,
AMPUTATION W/SECONDARY CLOSURE OR SCAR R,27594,3909,
"AMPUTATION, THIGH, THROUGH FEMUR ANY LEV",27590,5646,
ANALPRAM HC CREAM 2.5% CH/GM (GENERIC),,11.5,
ANASPAZ 0.125MG ODT TAB,,6,
ANASTROZOLE (ARIMIDEX) 1MG TAB,,18.5,
ANDRODERM 2MG PATCH,,19,
ANDROGEL 1% {TESTOSTERONE GEL} PER PACK,,13,
ANECTINE 20MG/ML (SUCCINYLCHOLINE)CH/ML,J0330,25,
ANORO ELLIPTA INHALER : *14 DOSE CH/DOSE,,12.15,
ANORO ELLIPTA INHALER: 30 DOSES *CH60*,,15,
ANOSCOPY W/DILATON,46604,1528,
ANOSCOPY W/REMOVAL POLYP,46610,2980,
ANOSCOPY W/REMOVAL TUMOR,46611,1496,
ANOSCOPY WITH REMOVAL OF TUMORS,46612,3220,
Antacid LIQ {MAALOX/MYLANTA} CH/BT UD,,6,
ANTEROIR VITRECTOMY PACK,,327,
ANTI MONKEY BUTT POWDER CH1,,9.45,
ANTIEXTRACTABLE NUCLEAR AGS.   ID 152117,86235,107,
ANTIFUNGAL POWDER (TOLNAFTATE) CH/BOTTLE,,8,
ANTIMYELOPEROXIDASE ABS.   ID 152656,83520,155,
ANTIPYRINE & BENZOCAINE OTIC SOLN CH/ML,,1.8,
ANUSOL    (GENERIC) SUPP,,8.25,
Apidra  {SLIDING SCALE},,120,
Apidra 100UNITS/ML INJ,,120,
APPENDECTOMY FOR RUPTURED APPENDIX,44960,4246,
APPENDECTOMY LAPAROSCOPIC,44970,4687,
"APPENDECTOMY, DONE F/INDICAT PURPOSE",44955,2541,
APPLE CIDER VINGR 1000MG TAB,,6,
APPLICATION FOREARM SPLINT-FOREARM/HAND,29125,105,
APPLICATION LONG ARM SPLINT-SHOULDER/HAN,29105,134,
APPLICATION UNNA BOOT,29580,82,
APPLICATION/SHORT LEG SPLINT (CALF-FOOT),29515,105,
APPLIED EPIX LAP SCISSORS 5MMX35CM,,142,
APPLIED SLEEVE BALLON 5X100MM,,26,
APPLIED TROCAR KII 11X100MM,,86,
APPLIED TROCAR KII 12X100MM,,86,
APPLIED TROCAR KII 5X100MM,,54,
APPLY SHORT LEG SPLINT,29515,150,
AQUA MEPHYTON  {VIT K}AMP 10MG  UD,J3430,89,
AQUA MEPHYTON (VIT K) INJ  1MG/0.5ML,J3430,30,
ARANESP  INJ 150mcg CH 1 (NON-ESRD),J0881,2716.75,
ARANESP INJ 150MCG CH 1 (ESRD),J0882,2716.75,
ARGINAID (ARGININE POWDER) PACK  CH/PK,,8,
ARIPiprazole (ABILIFY) TAB  5MG,,8,
ARIPiprazole (ABILIFY) TAB 10MG,,62.2,
ARIPiprazole (ABILIFY) TAB 15MG,,8,
ARIPIPRAZOLE 2 MG TAB (ABILIFY),,6,
Arixtra INJ    10MG/0.8ML UD,J1652,136,
Arixtra INJECTION  2.5MG/0.5ML UD,J1652,110,
Arixtra INJECTION  5MG/0.4ML UD,J1652,145,
ARMBOARD ADULT,,6,
ARMBOARD NEONATAL,,7,
ARTHRITIS PAIN CREAM {ASPERCREAM}CH/TUBE,,6,
ARTHROCENTESES,20605,272,
"ARTHROCENTESIS INTERMED/WRIST ELBOW, ECT",20605,162,
"ARTHROCENTESIS INTERMED/WRIST ELBOW, ECT",20605,272,
"ARTHROCENTESIS MAJ ,HIP,SHOLD,JOINT,KNEE",20610,451,
"ARTHROCENTESIS MAJ ,HIP,SHOLD,JOINT,KNEE",20610,451,
"ARTHROCENTESIS MAJ ,HIP,SHOLD,JOINT,KNEE",20610,451,
ARTHROCENTESIS MAJ/HIP/SHOULDR/JNT/KNEE,20610,523,
"ARTHROCENTESIS SMALL JOINT(eg,FING,TOE)",20600,128,
"ARTHROCENTESIS SMALL JOINT(eg,FING,TOE)",20600,128,
"ARTHROCENTESIS, INTERMEDIATE JOINT",20605,272,
"ARTHROCENTESIS, INTERMEDIATE JOINT",21480,307,
"ARTHROCENTESIS, INTERMEDIATE JOINT",27552,2700,
ARTHRODESIS GREAT TOE MTP JOINT,28750,11014,
ARTHRODESIS INTERPHALANGEAL JT,26860,7352,
Asacol {MESALAMINE} TAB :  400MG,,6,
ASCENSIA CONTOUR TEST STRIPS CH/STRIP,,3,
ASCORBIC ACID 500MG/ML VIAL CH/ML,,10,
ASMANEX 220mcg INHALER 30dose  CH ONE,,3.5,
ASMANEX 220mcg INHALER 60dose   CH ONE,,7,
ASPIR INJ MAJOR JOINT,20610,750,
ASPIRATE PLEURA W/O IMAGING,32554,405,
ASPIRATION ABSCESS,10160,666,
ASPIRATION OF BREAST LESION,19000,660,
ASPIRATION OF HYDROCELE,55000,984,
ASPIRIN CHEW TAB {BABY ASA}   81MG UD,,6,
ASPIRIN EC {ECOTRIN} TAB 325MG UD,,6,
ASPIRIN EC TAB 81MG UD,,6,
ASPIRIN SUPP 300MG UD,,6,
ASPIRIN TAB 325MG (5GR) UD,,6,
"ASSC CHG,WTRN BLOT,LYMES DZ   ID 152631",8661791,209,
ASSC ITEM ENCEPHALITIS PRO 1   ID 152952,8669491,57,
ASSC ITEM ENCEPHALITIS PRO 2   ID 152953,86735,57,
ASSC ITEM ENCEPHALITIS PRO 3   ID 152954,8673591,57,
ASSC ITEM ENCEPHALITIS PRO 5   ID 152955,8676591,57,
ASSC ITEM ENCEPHALITIS PRO 8  ID 152959,86788,57,
ASSC ITEM ENCEPHALITIS PRO 9  ID 152960,86789,57,
ASSC ITEM ENCEPHALITIS PROC 6  ID 152957,86787,57,
ASSC ITEM ENCEPHALITIS PROC 7  ID 152958,8678791,57,
ASSCITEM ENCEPHALITIS PRO4    I D 152955,86765,57,
ASTRINGENT SOLUTION POWDER,,6,
Atacand TAB   32MG,,6,
ATENOLOL {TENORMIN} TAB 25MG UD,,6,
ATENOLOL {TENORMIN} TAB 50MG UD,,6,
ATENOLOL-CHLORTHALIDONE TA  50MG-25MG,,6,
ATENOLOL-CHLORTHALIDONE TAB  100/25MG,,4,
ATOMOXETINE (STRATTERA) 40MG CAP,,8,
AtoMOXetine {STRATTERA}  60MG CAP,,34,
ATOMOXETINE CAP (STRATTERA) 18 MG,,14.2,
ATORVASTATIN  {LIPITOR} TAB  10MG UD,,6,
ATORVASTATIN {LIPITOR} TAB  20MG UD,,6,
ATORVASTATIN {LIPITOR} TAB  40MG UD,,6,
ATORVASTATIN {LIPITOR} TAB  80MG UD,,6,
ATRACURIUM 10MG/ML (50MG/5ML) INJ,,25,
ATROPINE 0.4MG/ML    1ML VIAL,J0461,19,
ATROPINE 1MG SYRINGE 10ML,J0461,32,
ATROPINE 1MG/ML AMP 1ML,J0461,20,
ATROPINE OPHTH SOLN 1%   2ML   CH/ML,,4.45,
ATROPINE OPHTH SOLN 1%   5ML   CH/ML,,26,
Atrovent HFA INHALER 12.9GM  CH/GRAM,,65,
AUGMENTIN SUSP   200MG/5ML 100ML CH/ML,,0.4,
AUGMENTIN SUSP   200MG/5ML 50ML CH/ML,,0.4,
AUSTIN BUNIONECTOMY,28296,4408,
AVELOX IV PREMIX  400MG/250ML UD,,195,
AVIANE TAB 0.10MG/0.02MG,,6,
AVODART {DUTASTERIDE} CAP  0.5MG UD,,12.1,
AVULSION OF NAIL PLATE,11730,196,
AVULSION OF NAIL SIMPLE SINGLE,11730,205,
AZELASTINE 137mcg NASAL SPRAY 30ML CH/ML,,8.78,
AZELASTINE OPHT SOL 0.05%  CH/ML OPTIVAR,,15,
AZITHROMAX    100MG/5ML  CH/ML 15ml,,6,
AZITHROMYCIN {ZITHROMAX} TAB 250MG U/D,,6,
AZITHROMYCIN 200MG/5ML CH/ML 15ml,,6,
AZITHROMYCIN 200MG/5ML CH/ML 22.5ml,,2.5,
AZITHROMYCIN 200MG/5ML CH/ML 30ml,,0.67,
AZITHROMYCIN 250MG (*Z-PAK*)  CH/TAB,,6,
AZMACORT INHALER 20G,,5.1,
AZO 95MG (PYRIDIUM) TABLET,,6,
AZOPT 1% SUSP 10ML CH/ML,,90,
AZTREONAM 1GM : FOR IVP,,110,
AZTREONAM 1GM/50ML NS,,110,
B COMPLEX VIT TAB,,6,
B COMPLEX WITH C TAB,,6,
B-12 5000mcg SL LIQUID,,0.22,
BACITRACIN OPHTH OINT   3.5GM  CH/GM,,5,
BACITRACIN/POLYMYXIN OPHTH OINT   CH/GM,,4,
BACLOFEN (LIORESAL) TAB   20MG UD,,6,
BACLOFEN (LIORESAL) TAB 10MG UD,,6,
BACTRIM IV 800MG/160MG   10ML VIAL,,85,
BACTRIM SUSP (200MG/40MG/5ML)  CHG/ML,,0.5,
BAG AMBU ADULT,,54,
BAG AMBU INF.,,77,
BAG AMBU PED.,,52,
BAG SETUP,,4,
BAG URINARY DRAINAGE  6208,,16,
BAG URINARY LEG,,9,
BAGS (PRESCRIPTION SIZE),,2,
BALZIA (OVCON 35) PK OF 28,,6,
BANDAGE 2  ELASTIC,,5,
BANDAGE 3  ACE,,6,
BANDAGE 4  ACE,,7,
BANDAGE 6  ELASTIC,,8,
BANDAGE ESMARK 9'X4,,6,
BASAGLAR INSULIN 100UNIT/ML 3MLPEN CH/ML,,198,
BASIC SPIROMETRY (PFT) MEDICAID,,36,
BATH CONTRAST 15 MINUTES,97034GP,92,
BATH CONTRAST 15 MINUTES,97034GP,92,
BATTERY LITHIUM 123,,9,
BB FFP THAWING EA UNIT   ID 6668,86927,34,
BD AUuto Shield  NEEDLES,,1.98,
BD AUuto Shield DUO NEEDLES,,1.1,
BD INSULIN SYR W/6MM NEEDLE,,37.5,
BD ULTRA-FINE MINI PEN NEEDLES,,1,
BEANO TAB,,6,
BELSOMRA TAB 20MG,,23,
BELT RIB UNIVERSAL 79-89050,,16,
BELT RIB W/SMALL 79-89060,,16,
BELT RIB W/UNIV. 79-89160,,16,
Benadryl (DIPHENHYDRAMINE) 2% CRM   30GM,,7.5,
Benadryl (diphenhydrAMINE) CAP  50MG UD,,6,
Benadryl (diphenhydrAMINE) CAP 25MG,,6,
Benadryl (diphenhydrAMINE) INJ  50MG UD,J1200,28,
Benadryl (DIPHENHYDRAMINE) TAB  50MG,,4,
Benadryl {DIPHENHYDR} EL12.5MG/5ML(GEN),,0.4,
benazapril HCT 10/12.5MG TABS,,6,
benazapril HCT TB 20/12.5MG (LOTENS HCT),,4,
benazepril (LOTENSIN} TAB 20MG UD,,6,
benazepril {LOTENSIN} TAB   10MG UD,,6,
benazepril {LOTENSIN} TAB   40MG,,6,
benazepril {LOTENSIN} TAB   5MG,,6,
BENTYL {DICYCLOMINE} *IM* 10MG/ML INJ,J0500,109,
BENZAGEL ACNE GEL   45GM,,9,
BENZAMYCIN TOP GEL   PER GM,,2.9,
BENZONATATE (TESSALON) CAP   200MG UD,,6,
BENZONATATE (TESSALON) CAP  100MG UD,,6,
BENZOYL PEROXIDE GEL 5% 60GM  GH/GM,,33,
BENZTROPINE {COGENTIN} TAB 1MG UD,,6,
BEPREVE OPHTH SOLN 10ML CH/ML,,57,
BERKELEY SAFETOUCH COLLECTION SYSTEM,,103,
BESIVANCE 0.6% OPHTH SUSP 5ML CH/ML,,64,
BETA CAROTENE TAB,,6,
BETADINE {ER ONLY} 0.5 OZ UD,,8,
BETADINE SOLN 4 OZ CH/EA {1} UD,,8,
BETADINE SOLN 8OZ CH/1,,8,
BETAGAN (1 DOSE EYE SURGERY),,10,
BETAMET DIP AUG CR .05% 50G CH/G (DIP AF,,6,
BETAMETHASONE ACE - SP 6MG/ML CH/ML,J0702,60,
BETAMETHASONE DIP {AUG} CREAM 0.05%,,30,
BETAMETHASONE DIPRO {AUGM} CREAM 0.05%,,4,
BETAMETHASONE DIPROP CREAM 45GM  CH/GM,,3,
BETAMETHASONE DIPROP LOTION 0.05% CH/ML,,1.17,
BETAMETHASONE VAL OINT.0.1% CH/GM,,1.77,
BETAMETHASONE VALERATE LOTION 0.1% CH/ML,,0.3,
BETAMETHASONE VALERATE OINT  0.1% 15GM,,2.1,
BETASEPT CH/1 (HIBICLENS),,8,
BETHANECHOL CHL TAB 25MG,,6,
BETIMOL OPHTH SOLN 0.5%   5ML {CH/ML},,5.5,
BETOPTIC S OPHTH SUSP CH/ML,,47,
BICALUTAMIDE (Casodex) TAB 50MG,,6,
Bicillin C-R 900/300 U/2ML TUBEX,J0558,150,
"Bicillin L-A 1,200,000 U TUBEX 2 ML",J0561,480,
BINARY CONNECTOR 13MM,,2.4,
BINARY CONNECTOR 20MM,,1.7,
BINDER 12  LG. ABD. 36 -42   79-89327,,38,
BINDER 12  XLG. ABD.42 -48  79-89328,,41,
BINDER 12  XXLG. ABD. 48 -54  79-89329,,43,
BINDER 12 MED. ABD. 30 -36  79-89325,,36,
BINDER ABD 10  UNIV. 27 - 48,,42,
BINDER ABD 12  LG  62 -84  79-89220,,25,
BINDER ABD 12  MED/LG 45 -62  ABB462,,23,
BIOCLUSIVE DRESSING 4 X5  CH/EA UD,,5,
BIOFREEZE GEL 3OZ  CH1,,21,
BIOPATCH DISK 2.5CM,,26,
BIOPATCH DISK 2.5CM,,26,
"BIOPSY BONE, DEEP",20245,4141,
BIOPSY BREAST/PERCUTANEOUS/NEEDLE CORE,19100,3641,
BIOPSY CERVICAL LYMPH NODE,38510,4218,
BIOPSY NAIL UNIT,11755,228,
BIOPSY NAIL UNIT,11755,677,
"BIOPSY OF LIVER, WEDGE",47100,2041,
BIOPSY OR EXCISION LESION OF CERVIX,57500,960,
BIOPSY -SINGLE LESION,11100,157,
BIOPSY SOFT TISSURE FOREARM,25065,1327,
BIOPSY TEMPORAL ARTERY,37609,2529,
"BIOPSY, BREAST, OPEN, INCISIONAL",19101,3243,
"BIOPSY, LEG, SUBFASCIAL OR INTRAMUSCULAR",27614,3325,
BIOPSY-SINGLE LESION,11100,157,
BIORE STRIPS CH/BX,,0.8,
BIOTENE DRY MOUTH ORAL RINSE 33.8OZ CH1,,20.32,
BIOTENE MOUTH SPRAY 1.5 OZ,,10,
BIOTIN  5000MCG,,4,
"BIOTIN 10,000MCG TAB",,4,
BIOTIN 1000mcg TAB,,6,
BISOPROLOL (ZEBETA) 10MG TAB,,6,
BISOPROLOL/HCTZ {ZIAC} TAB  5/6.25 U/D,,6,
BISOPROLOL/HCTZ {ZIAC} TAB 5MG-6.25MG,,6,
BISOPROLOL/HCTZ {ZIAC}TAB 10MG-6.25MGUD,,6,92.91
BISOPROLOL/HCTZ{ZIAC} TAB 2.5MG-6.25M,,6,
BISOPRPLOL {ZEBETA} TAB 5MG UD,,6,152.23
BLADDER IRRIGATION SIMPLE,51700,146,
BLADE #15 SAFETY 73-8015,,4,
BLADE 3M CLIPPER 9660,,7,
BLADE 3M CLIPPER 9660,,7,
BLADE SAW LINVATEC MSR7000,,136,
BLADE SAW LINVATEC MSR7000E,,136,
BLADES DISSECTING HOOK,,1073,
BLADES MYRINGOTOMY,,247,
BLADES PADGETT DERMATOME,,169,
BLANKET FULL LENGTH  243,,44,
BLANKET UPPER BODY FLOW 443,,60,
BLANKET WARMING ADULT,,17,
BLANKET WARMING LOWER BODY,,17,
BLANKET WARMING UPPER BODY,,17,
BLEPHAROTOMY EYELID I&D,67700,249,
BLOCKS BITE,,5,
BLUNTPORT 5-12MM  179075P,,311,
BODY FLUID ALBUMIN   ID 152622,82570,124,
BONE BIOPSY,20220,1456,
BONE MARROW ASPIRATION,85095,250,
BONTRIL SR CAP 105MG (GEN),,6,
BOOST,,6,
