SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL Total (IP & OP) PPO ,BCBSAL CHS EE PPO,Aetna PPO ,UHC PPO,Cigna PPO,Humana PPO,VIVA PPO ,UHC MCR ,Humana MCR ,BCBSAL MCR,Aetna/Coventry MCR,VIVA Health MCR,Multiplan 
1864961,DEBRDE LE 20SQCM OT,97597,645.45,2/6/22,193.635,225.9075,39.37245,358.8702,61.31775,51.636,358.8702,93.59025,94.88115,49.69965,109.08105,50.3451,50.3451,51.636,54.86325,45.82695,39.37245
1612184,LE-FEMUR 2V CR,73552,826.8,2/6/22,248.04,289.38,50.4348,459.7008,78.546,66.144,459.7008,119.886,121.5396,63.6636,139.7292,64.4904,64.4904,66.144,70.278,58.7028,50.4348
1061267,P-INS DUAL PAC SYS,SURG,80037.39,2/6/22,24011.217,28013.0865,4882.28079,44500.78884,7603.55205,6402.9912,44500.78884,11605.42155,11765.49633,6162.87903,13526.31891,6242.91642,6242.91642,6402.9912,6803.17815,5682.65469,4882.28079
1213279,COAL TAR.5%SHAM 130M,,3.7,2/6/22,1.11,1.295,0.2257,2.0572,0.3515,0.296,2.0572,0.5365,0.5439,0.2849,0.6253,0.2886,0.2886,0.296,0.3145,0.2627,0.2257
1314483,VITAMIN B-1,84425,267.01,2/6/22,80.103,93.4535,16.28761,148.45756,25.36595,21.3608,148.45756,38.71645,39.25047,20.55977,45.12469,20.82678,20.82678,21.3608,22.69585,18.95771,16.28761
7212027,DESMOPRESSIN 1MCGINJ,J2597,55.45,2/6/22,16.635,19.4075,3.38245,30.8302,5.26775,4.436,30.8302,8.04025,8.15115,4.26965,9.37105,4.3251,4.3251,4.436,4.71325,3.93695,3.38245
1314223,VITAMIN B-12,82607,118.93,2/6/22,35.679,41.6255,7.25473,66.12508,11.29835,9.5144,66.12508,17.24485,17.48271,9.15761,20.09917,9.27654,9.27654,9.5144,10.10905,8.44403,7.25473
1217454,INDOMETHACIN 1MG INJ,,9381.07,2/6/22,2814.321,3283.3745,572.24527,5215.87492,891.20165,750.4856,5215.87492,1360.25515,1379.01729,722.34239,1585.40083,731.72346,731.72346,750.4856,797.39095,666.05597,572.24527
1314937,"SHIGA-LIKE TOX AG,EI",87427,127.09,2/6/22,38.127,44.4815,7.75249,70.66204,12.07355,10.1672,70.66204,18.42805,18.68223,9.78593,21.47821,9.91302,9.91302,10.1672,10.80265,9.02339,7.75249
1221104,SOD CHLOR 3% 500ML,,432.79,2/6/22,129.837,151.4765,26.40019,240.63124,41.11505,34.6232,240.63124,62.75455,63.62013,33.32483,73.14151,33.75762,33.75762,34.6232,36.78715,30.72809,26.40019
1218882,ETODOLAC 200MG CAP,,0.43,2/6/22,0.129,0.1505,0.02623,0.23908,0.04085,0.0344,0.23908,0.06235,0.06321,0.03311,0.07267,0.03354,0.03354,0.0344,0.03655,0.03053,0.02623
1610034,SP-CERV SP 2TO3VW DR,72040,778.16,2/6/22,233.448,272.356,47.46776,432.65696,73.9252,62.2528,432.65696,112.8332,114.38952,59.91832,131.50904,60.69648,60.69648,62.2528,66.1436,55.24936,47.46776
1219898,DILTIAZEM 25MG/5ML V,,224.91,2/6/22,67.473,78.7185,13.71951,125.04996,21.36645,17.9928,125.04996,32.61195,33.06177,17.31807,38.00979,17.54298,17.54298,17.9928,19.11735,15.96861,13.71951
1218789,CHLORAMBUCIL 2MG TAB,,5.6,2/6/22,1.68,1.96,0.3416,3.1136,0.532,0.448,3.1136,0.812,0.8232,0.4312,0.9464,0.4368,0.4368,0.448,0.476,0.3976,0.3416
1210382,FORMOTER 12MCG INHCP,,10.32,2/6/22,3.096,3.612,0.62952,5.73792,0.9804,0.8256,5.73792,1.4964,1.51704,0.79464,1.74408,0.80496,0.80496,0.8256,0.8772,0.73272,0.62952
1210788,NITAZOXAN 20MG/ML 5M,,42.98,2/6/22,12.894,15.043,2.62178,23.89688,4.0831,3.4384,23.89688,6.2321,6.31806,3.30946,7.26362,3.35244,3.35244,3.4384,3.6533,3.05158,2.62178
1523125,CHEMO INTRA PERIT,96446,960.48,2/6/22,288.144,336.168,58.58928,534.02688,91.2456,76.8384,534.02688,139.2696,141.19056,73.95696,162.32112,74.91744,74.91744,76.8384,81.6408,68.19408,58.58928
2811513,S-CATH EXTREM ART,36140,628.34,2/6/22,188.502,219.919,38.32874,349.35704,59.6923,50.2672,349.35704,91.1093,92.36598,48.38218,106.18946,49.01052,49.01052,50.2672,53.4089,44.61214,38.32874
2850071,S-SEC ART M THRO ADD,SURG,15079.56,2/6/22,4523.868,5277.846,919.85316,8384.23536,1432.5582,1206.3648,8384.23536,2186.5362,2216.69532,1161.12612,2548.44564,1176.20568,1176.20568,1206.3648,1281.7626,1070.64876,919.85316
1315337,INTERLEUKIN-6,83529,218.04,2/6/22,65.412,76.314,13.30044,121.23024,20.7138,17.4432,121.23024,31.6158,32.05188,16.78908,36.84876,17.00712,17.00712,17.4432,18.5334,15.48084,13.30044
1854992,SPLNT LNGARM SH COTA,29105,461.54,2/6/22,138.462,161.539,28.15394,256.61624,43.8463,36.9232,256.61624,66.9233,67.84638,35.53858,78.00026,36.00012,36.00012,36.9232,39.2309,32.76934,28.15394
2811215,IN111 IBRITU DX/5MCI,A9542,12310.75,2/6/22,3693.225,4308.7625,750.95575,6844.777,1169.52125,984.86,6844.777,1785.05875,1809.68025,947.92775,2080.51675,960.2385,960.2385,984.86,1046.41375,874.06325,750.95575
1314111,OBSTETRIC PANEL,80055,707.76,2/6/22,212.328,247.716,43.17336,393.51456,67.2372,56.6208,393.51456,102.6252,104.04072,54.49752,119.61144,55.20528,55.20528,56.6208,60.1596,50.25096,43.17336
7210787,CLIND 18MG/ML D5W 50,,284.97,2/6/22,85.491,99.7395,17.38317,158.44332,27.07215,22.7976,158.44332,41.32065,41.89059,21.94269,48.15993,22.22766,22.22766,22.7976,24.22245,20.23287,17.38317
1020032,EEG AWAKE DROWSY,95816,2425.85,2/6/22,727.755,849.0475,147.97685,1348.7726,230.45575,194.068,1348.7726,351.74825,356.59995,186.79045,409.96865,189.2163,189.2163,194.068,206.19725,172.23535,147.97685
1691158,IR-FEM POP REVAS TLA,SURG,24898.25,2/6/22,7469.475,8714.3875,1518.79325,13843.427,2365.33375,1991.86,13843.427,3610.24625,3660.04275,1917.16525,4207.80425,1942.0635,1942.0635,1991.86,2116.35125,1767.77575,1518.79325
2852814,EP-MAP TACHY,93609,13401.58,2/6/22,4020.474,4690.553,817.49638,7451.27848,1273.1501,1072.1264,7451.27848,1943.2291,1970.03226,1031.92166,2264.86702,1045.32324,1045.32324,1072.1264,1139.1343,951.51218,817.49638
1314352,LEAD,83655,89.78,2/6/22,26.934,31.423,5.47658,49.91768,8.5291,7.1824,49.91768,13.0181,13.19766,6.91306,15.17282,7.00284,7.00284,7.1824,7.6313,6.37438,5.47658
1314696,"HEP B CORE AB, IGM",86705,124.76,2/6/22,37.428,43.666,7.61036,69.36656,11.8522,9.9808,69.36656,18.0902,18.33972,9.60652,21.08444,9.73128,9.73128,9.9808,10.6046,8.85796,7.61036
1213344,BUDE160-FORM4.5 6GM,,77.03,2/6/22,23.109,26.9605,4.69883,42.82868,7.31785,6.1624,42.82868,11.16935,11.32341,5.93131,13.01807,6.00834,6.00834,6.1624,6.54755,5.46913,4.69883
1864907,SPLNT LNG ARM S-H OT,29105,461.54,2/6/22,138.462,161.539,28.15394,256.61624,43.8463,36.9232,256.61624,66.9233,67.84638,35.53858,78.00026,36.00012,36.00012,36.9232,39.2309,32.76934,28.15394
1217786,DRONABINOL 2.5MG CAP,,5.6,2/6/22,1.68,1.96,0.3416,3.1136,0.532,0.448,3.1136,0.812,0.8232,0.4312,0.9464,0.4368,0.4368,0.448,0.476,0.3976,0.3416
1217602,DOXYCYCL 25MG/5ML 5M,,241.83,2/6/22,72.549,84.6405,14.75163,134.45748,22.97385,19.3464,134.45748,35.06535,35.54901,18.62091,40.86927,18.86274,18.86274,19.3464,20.55555,17.16993,14.75163
1210500,KETOROLAC .5%OS 3ML,,138.65,2/6/22,41.595,48.5275,8.45765,77.0894,13.17175,11.092,77.0894,20.10425,20.38155,10.67605,23.43185,10.8147,10.8147,11.092,11.78525,9.84415,8.45765
1213721,CHLORPROMAZIN 25MGTB,,1.34,2/6/22,0.402,0.469,0.08174,0.74504,0.1273,0.1072,0.74504,0.1943,0.19698,0.10318,0.22646,0.10452,0.10452,0.1072,0.1139,0.09514,0.08174
1030034,SOMATO LOWER LIMBS,95926,2128.19,2/6/22,638.457,744.8665,129.81959,1183.27364,202.17805,170.2552,1183.27364,308.58755,312.84393,163.87063,359.66411,165.99882,165.99882,170.2552,180.89615,151.10149,129.81959
1110812,OR LEV 2 EA ADD MIN,SURG,76.55,2/6/22,22.965,26.7925,4.66955,42.5618,7.27225,6.124,42.5618,11.09975,11.25285,5.89435,12.93695,5.9709,5.9709,6.124,6.50675,5.43505,4.66955
1212844,FOSCARNET 1000MG,J1455,7.61,2/6/22,2.283,2.6635,0.46421,4.23116,0.72295,0.6088,4.23116,1.10345,1.11867,0.58597,1.28609,0.59358,0.59358,0.6088,0.64685,0.54031,0.46421
7210993,COLISTIME UP TO 150M,J0770,784.06,2/6/22,235.218,274.421,47.82766,435.93736,74.4857,62.7248,435.93736,113.6887,115.25682,60.37262,132.50614,61.15668,61.15668,62.7248,66.6451,55.66826,47.82766
1217671,FLUVOXAMINE 50MG TAB,,0.52,2/6/22,0.156,0.182,0.03172,0.28912,0.0494,0.0416,0.28912,0.0754,0.07644,0.04004,0.08788,0.04056,0.04056,0.0416,0.0442,0.03692,0.03172
1218283,SIMVASTATIN 10MG TAB,,0.29,2/6/22,0.087,0.1015,0.01769,0.16124,0.02755,0.0232,0.16124,0.04205,0.04263,0.02233,0.04901,0.02262,0.02262,0.0232,0.02465,0.02059,0.01769
1651152,NM-PAR PLAN THY IMG,78070,2691.1,2/6/22,807.33,941.885,164.1571,1496.2516,255.6545,215.288,1496.2516,390.2095,395.5917,207.2147,454.7959,209.9058,209.9058,215.288,228.7435,191.0681,164.1571
1211660,DIBUCAINE 1%OIN 60GM,,23.11,2/6/22,6.933,8.0885,1.40971,12.84916,2.19545,1.8488,12.84916,3.35095,3.39717,1.77947,3.90559,1.80258,1.80258,1.8488,1.96435,1.64081,1.40971
1410023,TUBE DRAIN CATH 3,,1955.32,2/6/22,586.596,684.362,119.27452,1087.15792,185.7554,156.4256,1087.15792,283.5214,287.43204,150.55964,330.44908,152.51496,152.51496,156.4256,166.2022,138.82772,119.27452
1061246,"IC-PTCA, SINGLE",92920,31305.97,2/6/22,9391.791,10957.0895,1909.66417,17406.11932,2974.06715,2504.4776,17406.11932,4539.36565,4601.97759,2410.55969,5290.70893,2441.86566,2441.86566,2504.4776,2661.00745,2222.72387,1909.66417
1314822,PROTHROMBIN TIME,85610,115.43,2/6/22,34.629,40.4005,7.04123,64.17908,10.96585,9.2344,64.17908,16.73735,16.96821,8.88811,19.50767,9.00354,9.00354,9.2344,9.81155,8.19553,7.04123
1314482,"TESTOSTERONE, TOTAL",84403,166.74,2/6/22,50.022,58.359,10.17114,92.70744,15.8403,13.3392,92.70744,24.1773,24.51078,12.83898,28.17906,13.00572,13.00572,13.3392,14.1729,11.83854,10.17114
1631521,CT-ORBIT EAR W,70481,2676.92,2/6/22,803.076,936.922,163.29212,1488.36752,254.3074,214.1536,1488.36752,388.1534,393.50724,206.12284,452.39948,208.79976,208.79976,214.1536,227.5382,190.06132,163.29212
2811422,S-INJ HIP ARTHRO,27093,381.76,2/6/22,114.528,133.616,23.28736,212.25856,36.2672,30.5408,212.25856,55.3552,56.11872,29.39552,64.51744,29.77728,29.77728,30.5408,32.4496,27.10496,23.28736
1314254,FERRITIN,82728,121.26,2/6/22,36.378,42.441,7.39686,67.42056,11.5197,9.7008,67.42056,17.5827,17.82522,9.33702,20.49294,9.45828,9.45828,9.7008,10.3071,8.60946,7.39686
1314790,COAG TIME ACTIVATED,85347,132.92,2/6/22,39.876,46.522,8.10812,73.90352,12.6274,10.6336,73.90352,19.2734,19.53924,10.23484,22.46348,10.36776,10.36776,10.6336,11.2982,9.43732,8.10812
1413324,CATH BAL DIL NONVAS4,C1726,38229.21,2/6/22,11468.763,13380.2235,2331.98181,21255.44076,3631.77495,3058.3368,21255.44076,5543.23545,5619.69387,2943.64917,6460.73649,2981.87838,2981.87838,3058.3368,3249.48285,2714.27391,2331.98181
1316386,PAMG-1 QUALITATIVE,84112,572.51,2/6/22,171.753,200.3785,34.92311,318.31556,54.38845,45.8008,318.31556,83.01395,84.15897,44.08327,96.75419,44.65578,44.65578,45.8008,48.66335,40.64821,34.92311
1414704,JOINT DEVICE IMPLT 5,C1776,19004.2,2/6/22,5701.26,6651.47,1159.2562,10566.3352,1805.399,1520.336,10566.3352,2755.609,2793.6174,1463.3234,3211.7098,1482.3276,1482.3276,1520.336,1615.357,1349.2982,1159.2562
1414482,CONN TISSUE HUMAN 8,C1762,35325.92,2/6/22,10597.776,12364.072,2154.88112,19641.21152,3355.9624,2826.0736,19641.21152,5122.2584,5192.91024,2720.09584,5970.08048,2755.42176,2755.42176,2826.0736,3002.7032,2508.14032,2154.88112
1061585,IR-ANG INT CAR IP UN,36224,24897.8,2/6/22,7469.34,8714.23,1518.7658,13843.1768,2365.291,1991.824,13843.1768,3610.181,3659.9766,1917.1306,4207.7282,1942.0284,1942.0284,1991.824,2116.313,1767.7438,1518.7658
7210526,NITAZOXANIDE 500MGTB,,68.2,2/6/22,20.46,23.87,4.1602,37.9192,6.479,5.456,37.9192,9.889,10.0254,5.2514,11.5258,5.3196,5.3196,5.456,5.797,4.8422,4.1602
7210175,FLUTICASO 44MCG 10.6,,354.29,2/6/22,106.287,124.0015,21.61169,196.98524,33.65755,28.3432,196.98524,51.37205,52.08063,27.28033,59.87501,27.63462,27.63462,28.3432,30.11465,25.15459,21.61169
195207,R&B M/S SEMI PVT TEL,,1650,2/6/22,495,577.5,100.65,917.4,156.75,132,917.4,239.25,242.55,127.05,278.85,128.7,128.7,132,140.25,117.15,100.65
1210178,CETUXIMAB INJECTION,J9055,1246.18,2/6/22,373.854,436.163,76.01698,692.87608,118.3871,99.6944,692.87608,180.6961,183.18846,95.95586,210.60442,97.20204,97.20204,99.6944,105.9253,88.47878,76.01698
1413042,CATH EP 19 OR FEW 1,C1730,7151.49,2/6/22,2145.447,2503.0215,436.24089,3976.22844,679.39155,572.1192,3976.22844,1036.96605,1051.26903,550.66473,1208.60181,557.81622,557.81622,572.1192,607.87665,507.75579,436.24089
1414626,GUIDEWIRE LEVEL 2,C1769,3424.8,2/6/22,1027.44,1198.68,208.9128,1904.1888,325.356,273.984,1904.1888,496.596,503.4456,263.7096,578.7912,267.1344,267.1344,273.984,291.108,243.1608,208.9128
1061481,S-ENDOVAS TAA WO SUB,SURG,9208.95,2/6/22,2762.685,3223.1325,561.74595,5120.1762,874.85025,736.716,5120.1762,1335.29775,1353.71565,709.08915,1556.31255,718.2981,718.2981,736.716,782.76075,653.83545,561.74595
1651116,NM-KID VF PHRM MULT,78709,6667,2/6/22,2000.1,2333.45,406.687,3706.852,633.365,533.36,3706.852,966.715,980.049,513.359,1126.723,520.026,520.026,533.36,566.695,473.357,406.687
1316662,TAPENTADOL MS,80372,89.78,2/6/22,26.934,31.423,5.47658,49.91768,8.5291,7.1824,49.91768,13.0181,13.19766,6.91306,15.17282,7.00284,7.00284,7.1824,7.6313,6.37438,5.47658
1160142,G ESOPH TEST W ELEC,91035,7435.45,2/6/22,2230.635,2602.4075,453.56245,4134.1102,706.36775,594.836,4134.1102,1078.14025,1093.01115,572.52965,1256.59105,579.9651,579.9651,594.836,632.01325,527.91695,453.56245
1315863,AMIKACIN,80150,242.53,2/6/22,72.759,84.8855,14.79433,134.84668,23.04035,19.4024,134.84668,35.16685,35.65191,18.67481,40.98757,18.91734,18.91734,19.4024,20.61505,17.21963,14.79433
1211616,LACOSAMIDE 1MG INJ,C9254,5.25,2/6/22,1.575,1.8375,0.32025,2.919,0.49875,0.42,2.919,0.76125,0.77175,0.40425,0.88725,0.4095,0.4095,0.42,0.44625,0.37275,0.32025
7211841,INFLIXIMAB 10 MG INJ,J1745,2101.04,2/6/22,630.312,735.364,128.16344,1168.17824,199.5988,168.0832,1168.17824,304.6508,308.85288,161.78008,355.07576,163.88112,163.88112,168.0832,178.5884,149.17384,128.16344
1213943,ICOSAPENT ETH 1GM CP,,2.47,2/6/22,0.741,0.8645,0.15067,1.37332,0.23465,0.1976,1.37332,0.35815,0.36309,0.19019,0.41743,0.19266,0.19266,0.1976,0.20995,0.17537,0.15067
1510139,RT-RAD TX PORT FILMS,77417,115.9,2/6/22,34.77,40.565,7.0699,64.4404,11.0105,9.272,64.4404,16.8055,17.0373,8.9243,19.5871,9.0402,9.0402,9.272,9.8515,8.2289,7.0699
1631545,CT-UPPER EXT W,73201,6545.42,2/6/22,1963.626,2290.897,399.27062,3639.25352,621.8149,523.6336,3639.25352,949.0859,962.17674,503.99734,1106.17598,510.54276,510.54276,523.6336,556.3607,464.72482,399.27062
7210874,VALPROATE 500MG/5ML,,318.87,2/6/22,95.661,111.6045,19.45107,177.29172,30.29265,25.5096,177.29172,46.23615,46.87389,24.55299,53.88903,24.87186,24.87186,25.5096,27.10395,22.63977,19.45107
2852824,IC-PR DE CR RV CAB B,C9605,43542.58,2/6/22,13062.774,15239.903,2656.09738,24209.67448,4136.5451,3483.4064,24209.67448,6313.6741,6400.75926,3352.77866,7358.69602,3396.32124,3396.32124,3483.4064,3701.1193,3091.52318,2656.09738
1211140,ROPIVACAINE 1MG INJ,J2795,2.77,2/6/22,0.831,0.9695,0.16897,1.54012,0.26315,0.2216,1.54012,0.40165,0.40719,0.21329,0.46813,0.21606,0.21606,0.2216,0.23545,0.19667,0.16897
1612229,FL-ENTEROCLYSIS PLAC,74355,4075.17,2/6/22,1222.551,1426.3095,248.58537,2265.79452,387.14115,326.0136,2265.79452,590.89965,599.04999,313.78809,688.70373,317.86326,317.86326,326.0136,346.38945,289.33707,248.58537
1314214,CPK ISOENZYMES,82552,262.35,2/6/22,78.705,91.8225,16.00335,145.8666,24.92325,20.988,145.8666,38.04075,38.56545,20.20095,44.33715,20.4633,20.4633,20.988,22.29975,18.62685,16.00335
7210666,ATAZANAVIR 150MG,,28.89,2/6/22,8.667,10.1115,1.76229,16.06284,2.74455,2.3112,16.06284,4.18905,4.24683,2.22453,4.88241,2.25342,2.25342,2.3112,2.45565,2.05119,1.76229
1061520,S-FEM POP STNT ATHR,SURG,83300.82,2/6/22,24990.246,29155.287,5081.35002,46315.25592,7913.5779,6664.0656,46315.25592,12078.6189,12245.22054,6414.16314,14077.83858,6497.46396,6497.46396,6664.0656,7080.5697,5914.35822,5081.35002
1621559,US-NON INV ARTER EXT,93923,1327.31,2/6/22,398.193,464.5585,80.96591,737.98436,126.09445,106.1848,737.98436,192.45995,195.11457,102.20287,224.31539,103.53018,103.53018,106.1848,112.82135,94.23901,80.96591
7211731,H-COD7.5/APAP325MGTB,,0.43,2/6/22,0.129,0.1505,0.02623,0.23908,0.04085,0.0344,0.23908,0.06235,0.06321,0.03311,0.07267,0.03354,0.03354,0.0344,0.03655,0.03053,0.02623
1691098,IR-VENGRM ADRENAL UN,75840,12812.51,2/6/22,3843.753,4484.3785,781.56311,7123.75556,1217.18845,1025.0008,7123.75556,1857.81395,1883.43897,986.56327,2165.31419,999.37578,999.37578,1025.0008,1089.06335,909.68821,781.56311
1314487,"THYROXINE T4, NEO",84437,41.98,2/6/22,12.594,14.693,2.56078,23.34088,3.9881,3.3584,23.34088,6.0871,6.17106,3.23246,7.09462,3.27444,3.27444,3.3584,3.5683,2.98058,2.56078
1217801,GLYCOPYRROLATE 1MGTB,,13.72,2/6/22,4.116,4.802,0.83692,7.62832,1.3034,1.0976,7.62832,1.9894,2.01684,1.05644,2.31868,1.07016,1.07016,1.0976,1.1662,0.97412,0.83692
1314489,THYROXINE BIND GLOB,84442,243.69,2/6/22,73.107,85.2915,14.86509,135.49164,23.15055,19.4952,135.49164,35.33505,35.82243,18.76413,41.18361,19.00782,19.00782,19.4952,20.71365,17.30199,14.86509
2811912,S-DIA BN MARW ASP-BX,SURG,1235.63,2/6/22,370.689,432.4705,75.37343,687.01028,117.38485,98.8504,687.01028,179.16635,181.63761,95.14351,208.82147,96.37914,96.37914,98.8504,105.02855,87.72973,75.37343
1317094,MOLEC PATH LEV 4,81403,1424.85,2/6/22,427.455,498.6975,86.91585,792.2166,135.36075,113.988,792.2166,206.60325,209.45295,109.71345,240.79965,111.1383,111.1383,113.988,121.11225,101.16435,86.91585
1314207,CORTISOL TOTAL,82533,195.89,2/6/22,58.767,68.5615,11.94929,108.91484,18.60955,15.6712,108.91484,28.40405,28.79583,15.08353,33.10541,15.27942,15.27942,15.6712,16.65065,13.90819,11.94929
1030049,EMG W-NRV TST COM,95886,1714.06,2/6/22,514.218,599.921,104.55766,953.01736,162.8357,137.1248,953.01736,248.5387,251.96682,131.98262,289.67614,133.69668,133.69668,137.1248,145.6951,121.69826,104.55766
1218168,PHENYLEPH 2.5%OS 2ML,,40.06,2/6/22,12.018,14.021,2.44366,22.27336,3.8057,3.2048,22.27336,5.8087,5.88882,3.08462,6.77014,3.12468,3.12468,3.2048,3.4051,2.84426,2.44366
1217108,TERBUTALINE 2.5MG TB,,0.55,2/6/22,0.165,0.1925,0.03355,0.3058,0.05225,0.044,0.3058,0.07975,0.08085,0.04235,0.09295,0.0429,0.0429,0.044,0.04675,0.03905,0.03355
1314802,ALPHA-2 ANTIPLASMIN,85410,50.14,2/6/22,15.042,17.549,3.05854,27.87784,4.7633,4.0112,27.87784,7.2703,7.37058,3.86078,8.47366,3.91092,3.91092,4.0112,4.2619,3.55994,3.05854
1314266,GAMMAGLOBULIN IGE,82785,148.08,2/6/22,44.424,51.828,9.03288,82.33248,14.0676,11.8464,82.33248,21.4716,21.76776,11.40216,25.02552,11.55024,11.55024,11.8464,12.5868,10.51368,9.03288
1314049,TACROLIMUS,80197,432.59,2/6/22,129.777,151.4065,26.38799,240.52004,41.09605,34.6072,240.52004,62.72555,63.59073,33.30943,73.10771,33.74202,33.74202,34.6072,36.77015,30.71389,26.38799
